,영업활동현금흐름,영업에서 창출된 현금흐름,법인세의 지급,투자활동현금흐름,이자수취,배당금수취,단기금융상품의 순감소(증가),유형자산의 처분,유형자산의 취득,무형자산의 처분,무형자산의 취득,투자부동산의 처분,투자부동산의 취득,파생상품의 정산,다른 기업의 지분상품이나 채무상품의 취득에 따른 기타현금유출,다른 기업의 지분상품이나 채무상품의 처분에 따른 기타현금유입,종속기업과 기타 사업의 지배력 획득에 따른 현금흐름,종속기업과 기타 사업의 지배력 상실에 따른 현금흐름,공정가치금융자산의 처분,공정가치금융자산의 취득,단기대여금및수취채권의 취득,단기대여금및수취채권의 처분,장기대여금및수취채권의 취득,장기대여금및수취채권의 처분,사업양수도로 인한 감소,현금의기타유입(유출),재무활동현금흐름,이자지급,단기차입금의 증가,장기차입금의 증가,사채의 증가,사채의 상환,유동성장기부채의 상환,장기차입금의 상환,리스부채원금의상환,비지배지분의 증가,비지배지분의 감소,배당금지급,신종자본증권의 실행,신종자본증권의 상환,신종자본증권 분배금,주식선택권행사로 인한 현금유입,현금의기타유입(유출),환율변동효과 반영전 현금및현금성자산의 순증가(감소),현금및현금성자산에 대한 환율변동효과,현금및현금성자산의순증가(감소),기초현금및현금성자산,기말현금및현금성자산
20120101,805051777000,909409244000,-104357467000,-1156311478000,18137933000,15987418000,104341687000,82172904000,1052873109000,266712000,160695078000,,,-19489911000,9868756000,202600000.0,134234844000.0,3618047000.0,,,76825900000,72175911000,5693940000,4427313000,,182045000,456134987000,158390301000,-225085896000,868137532000,857062905000,30000000000.0,-509468769000,598280681000,,,,24903270000,,,-7815643000,4840687000.0,-1242693000,104875286000,-26821083000,78054203000,478739784000,556793987000
20130101,590904368000,650658605000,-59754237000,-769103669000,22796061000,11128337000,-42123803000,112991299000,1128451049000,5254096000,65574007000,,,-14789118000,55012982000,668757000.0,7808634000.0,,,,67015574000,80339035000,2736336000,2946986000,,98649000,60720288000,192194210000,-193854060000,860102932000,547581539000,129022501000.0,-345476194000,444018409000,,,,25353545000,,,-11779736000,2614215000.0,-1915594000,-117479013000,-7398590000,-124877603000,556793987000,431916384000
20140101,688561505000,820742247000,-132180742000,-537171145000,8775144000,4529216000,-85345345000,37043214000,474305795000,3359066000,55894045000,42883069000.0,,-30182124000,54270444000,,23783771000.0,5592548000.0,,,73460235000,76748827000,9119713000,10109612000,,1038939000,-141392305000,164926853000,67347599000,599377570000,412801395000,119066783000.0,-429967211000,488698975000,,,,25380482000,,,-11673216000,9644750000.0,-3658555000,9998055000,-5891836000,4106219000,431916384000,436022603000
20150101,1154573133000,1253267073000,-98693940000,-693002656000,12340059000,6342101000,15347437000,29292593000,673481047000,270035000,64406627000,1635575000.0,,17354483000,57386048000,11666643000.0,3384198000.0,19486876000.0,,,-16041640000,32440166000,4274948000,13892126000,,30669749000,-364487974000,149979259000,-261456886000,593503281000,749552608000,,-934782003000,586215695000,,,,28269751000,199536407000.0,,-13940172000,6498300000.0,30669749000,97082503000,-3324674000,93757829000,436022603000,529780432000
20160101,800141934000,951541627000,-151399693000,-1408917160000,33803812000,8135843000,39348147000,38591213000,845419637000,4944112000,65589528000,115893550000.0,,25806539000,10391404000,4976000000.0,618578194000.0,,,,98998426000,23136530000,25938080000,-394055000,,-5424939000,725943103000,186489811000,284779962000,591917299000,1318369144000,,-1142716260000,250127489000,,191212701000.0,-22492661000.0,35384348000,,,-18724245000,1024900000.0,-5424939000,117167877000,-2585803000,114582074000,529780432000,644362506000
20170101,1180837049000,1292675699000,-111838650000,-1463909010000,21435745000,10910974000,88933889000,26680784000,1450379654000,7871783000,87365658000,32934000.0,,-23853899000,16330785000,2208657000.0,376656356000.0,7136987000.0,,,12707420000,30277077000,19524997000,9747400000,,5974223000,265353628000,192096527000,152555806000,366839134000,870989396000,41190462000.0,-712522188000,126882100000,,11157772000.0,-19111379000.0,35393585000,198861095000.0,-202277671000.0,-15098876000,3549450000.0,5974223000,-17718333000,-35788529000,-53506862000,644362506000,590855644000
20180101,471425123000,654088194000,-182663071000,-1034629208000,20751995000,7222592000,20824211000,27224102000,1675402445000,2096092000,98701224000,3640312000.0,0.0,11710719000,43866833000,808602000.0,447138619000.0,1169384295000.0,2003033000.0,-20107801000.0,47404884000,83872003000,20145784000,5426606000,0.0,-36826180000,520965345000,227680227000,614173523000,464223631000,585695664000,,-976252066000,22428004000,0.0,32574570000.0,-650522029000.0,42503583000,199199480000.0,-50002644000.0,-19097922000,763100000.0,-11212604000,-42238740000,-1042637000,-43281377000,590855644000,547574267000
20190101,2143095681000,2522204232000,-379108551000,-3189885009000,22784927000,10917502000,-915931804000,381895213000,1553901713000,4179402000,130005103000,,,40410289000,4972013000,36253286000.0,2088738319000.0,4558328000.0,134708212000.0,-15288381000.0,19375800000,35082107000,13810208000,14072029000,,867277037000,1228711735000,408048580000,-998482861000,1775484752000,949372245000,,-1162767598000,73194195000,-253796221000.0,859753664000.0,-8818136000.0,56147491000,638984711000.0,,-37662942000,,4034387000,181922407000,-38545082000,143377325000,547574267000,690951592000
20200101,2001752173000,2195439343000,-193687170000,-345091608000,24045346000,8249760000,385285401000,239767862000,968452618000,7655195000,103871889000,5364542000.0,1931607000.0,-19620304000,5130050000,1000000000.0,98498716000.0,4828196000.0,85964000.0,-33489953000.0,51702960000,39672903000,5629081000,11885822000,-20736948000.0,236131527000,-1097921853000,276795926000,83008545000,1121876371000,298922060000,,-1815609940000,63779186000,-319402560000.0,2280000000.0,-3254663000.0,56147473000,180000000000.0,-200000000000.0,-49492222000,,473141000,558738712000,-37461203000,521277509000,690951592000,1212229101000
20210101,1686409257000,2155977537000,-469568280000,-625359234000,5184401000,10324843000,392033575000,90682637000,1342839001000,8172449000,104383982000,4489647000.0,1081108000.0,31841053000,8300020000,7372368000.0,285446388000.0,648200360000.0,11556849000.0,-92966989000.0,30988779000,19866534000,4917269000,8689459000,-1597758000.0,8747885000,-1273855062000,240659554000,-58319332000,1291878515000,859356848000,370388798000.0,-1404774412000,105132953000,-313046760000.0,11592000000.0,-818404708000.0,64159059000,,,-49762407000,81161000.0,-12115603000,-212805039000,97446090000,-115358949000,1212229101000,1096870152000
