,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,이자의 수취,이자의 지급,법인세의 납부,투자활동으로 인한 현금흐름,기타수취채권의 감소,기타금융자산의 처분,유형자산의 처분,무형자산의 처분,매각예정자산의 처분,금융기관예치금의 감소,기타수취채권의 증가,기타금융자산의 취득,유형자산의 취득,무형자산의 취득,금융기관예치금의 증가,재무활동으로 인한 현금흐름,차입금의 증가,차입금의 상환,리스부채의 원금 상환,배당금의 지급,현금및현금성자산의 환율변동효과,현금및현금성자산의 증가(감소),기초의 매각예정집단에 포함된 현금및현금성자산,기초의 현금및현금성자산,기말의 매각예정집단에 포함된 현금및현금성자산,기말의 현금및현금성자산
20090101,165872272690,127586598115,4689004630,24671704111,20659352111,-238872368997,32217560970,,7400234099,,,225385690.0,9531307286,-2235262513.0,294752472989,24563285390,86500000.0,218953261930,344463067840,121015715630,,-4207280000.0,2329849104,148283014727,,163301378693,,311584393420
20100101,45950681653,104390921843,8763377581,52640320203,18370342792,-1131693252093,2097562106,630260000.0,61149895260,928131379.0,,44034754167.0,6381071967,-3668137789.0,1328906287152,53969688785,76230400000.0,1025763712278,1071799163479,367031235507,,-5995228050.0,-4118087520,-64096945682,,311584393420,,247487447738
20110101,291213014668,382716955819,11420321227,87254064555,15670197823,-679682068328,5175419821,1235000.0,59183328451,255460910.0,,40001500000.0,9096286042,-597720000.0,691517697312,50358204155,30208000000.0,578519792104,699451747766,113966793062,,-7043531600.0,-1936250773,188114487671,,247487447738,,435601935409
20120101,380562771728,486146030101,16412653374,95582913639,26412998108,-382582788101,6141994866,,23076849770,5433297194.0,6865000000.0,30001500000.0,5463510375,,350077913024,43112539341,11192000000.0,-78985102032,506514815004,585871796436,,,-1789017379,-82794135784,,435601935409,,352807799625
20130101,435573632769,546258160306,9173486279,89771442107,30086571709,-404953065117,6619582775,2377420000.0,17081814531,6822000000.0,,192000000.0,4051139028,,383196504289,51784439106,192000000.0,16384319197,356810000000,637153542949,,,-202483462,46802403387,,352807799625,,399610203012
20140101,743026683817,823684386850,11403107456,62378364202,29682446287,-308829544932,4590041471,31230000.0,16646237090,1236310002.0,,960000000.0,1913580808,57392920.0,260901560486,57794161022,13128000000.0,-440155097298,250852488855,690850789813,,,2798869067,-3159089346,,399610203012,,396451113666
20150101,678363246058,739071927455,7046413618,45751524875,22003570140,-306247067254,2049047578,23740000.0,8984177389,1845468007.0,,,917832732,1162437520.0,261523253730,56041187039,500000000.0,-408463178403,224087454139,626634505792,,5916126750.0,182107993,-36164891606,,396451113666,,360286222060
20160101,331792630147,379664841471,5964578837,33811996545,20024793616,-355896771530,3601081666,2521210000.0,18156698332,1700000.0,,,1061917658,417321989.0,319040240961,56392936596,,6472692135,390804575907,376049306322,,8282577450.0,-1376657148,-19008106396,,360286222060,,341278115664
20170101,445980000789,483561083323,4839673162,32699949060,9720806636,-834401519014,1259548734,,24730846862,401887184.0,3915724643.0,,1671154664,138523278.0,775662959472,87236889023,,422489420007,884296622068,455891075311,,5916126750.0,-5813016115,28254885667,,341278115664,,369533001331
20180101,1062343411816,1168729205406,5376542613,50743192976,61019143227,-1414462263184,706874174,604556390.0,55360232092,486363636.0,35241521787.0,4600000.0,1045516743,1680094936.0,1413529902193,90610897391,,603612384126,1219192666686,609664155810,,5916126750.0,220836598,251714369356,,369533001331,,621247370687
20190101,769041422028,854390168140,7266052214,63981854629,28632943697,-354330692441,1113240470,334092862.0,54583886769,1352967416.0,171930679538.0,1400000.0,869932302,54708989.0,469597533817,112719784388,405000000.0,-238874493391,88075191491,315461168582,4389164200.0,7099352100.0,2491669988,178327906184,,621247370687,,799575276871
20200101,950268413751,1067894852901,3706869547,50592801651,70740507046,-826161591129,5366709606,536187362.0,28833292056,15939589087.0,,500000000.0,1224273904,14641080.0,766661801631,89359735281,20076917344.0,-167157650356,521019300000,671597533835,9475014421.0,7104402100.0,-8331934857,-51382762591,,799575276871,-53585527012.0,694606987268
20210101,1177629168876,1371034451825,3273658050,41923533944,154755407055,-1008293110517,2016459517,4186768686.0,9960981396,3832665758.0,71682524360.0,,1199855971,1500000000.0,1010404949703,86820570739,47133821.0,-309627951601,278222054643,560732763006,10552088338.0,16565154900.0,16344415624,-123947477618,53585527012.0,694606987268,-58370578070.0,565874458592
20220101,1514999766762,1895096245471,13580448836,52566279911,341110647634,-1996725064874,2863178298,5172460119.0,10609925495,2325615559.0,20829195778.0,1500000.0,198709404789,21094626789.0,1716908645159,81814177726,20000085660.0,441365736852,1129228028585,606386680644,10482090089.0,70993521000.0,-5977268200,-46336829460,58370578070.0,565874458592,,577908207202
