,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금,이자의 수취,이자의 지급,배당금의 수취,법인세의 납부(환),투자활동으로 인한 현금흐름,금융기관예치금의 감소,기타수취채권의 감소,기타금융자산의 회수 및 처분,유형자산의 처분,무형자산의 처분,관계기업 및 공동기업 투자의 회수 및 처분,투자부동산의 처분,매각예정분류자산의 처분,사업양도,금융기관예치금의 증가,기타수취채권의 증가,기타금융자산의 취득,유형자산의 취득,무형자산의 취득,관계기업 및 공동기업 투자의 취득,사업결합,재무활동으로 인한 현금흐름,차입금의 증가,비지배지분과의 거래,차입금의 상환,배당금의 지급,리스부채의 상환,현금및현금성자산에 대한 환율변동효과,현금및현금성자산의 증가(감소),기초의 매각예정분류자산으로 분류된 현금및현금성자산,기초의 현금및현금성자산,매각예정분류자산으로 분류된 현금및현금성자산,기말의 현금및현금성자산
20090101,6149549000000,6829790000000,84079000000,412967000000,151144000000,502497000000,-1993105000000,26071000000,206654000000,130998000000,258188000000,10097000000,,,26071000000,,173000000000,201654000000,278137000000,1591188000000,260943000000,116930000000,821000000,-4207779000000,2035881000000,,6171387000000,4580000000,70764000000,,,,2560035000000,,2423787000000
20100101,8517000000,490119000000,67972000000,232253000000,76301000000,393622000000,-1669803000000,195835000000,221406000000,98081000000,321739000000,2618000000,210336000000.0,,195835000000,239632000000.0,0,183362000000,144137000000,1745219000000,287549000000,129693000000,798000000,1220763000000,3276962000000,,1749208000000,399000000,308292000000,,,,2423787000000,,1944162000000
20110101,2017904000000,2623188000000,85832000000,397714000000,81480000000,374882000000,-3131598000000,40002000000,153880000000,38304000000,136963000000,16209000000,866000000.0,56000000.0,0,205254000000.0,107560000000,221323000000,95108000000,2521526000000,370208000000,998000000,0,1742412000000,3719942000000,,2906262000000,0,46808000000,-39298000000.0,589420000000.0,,2191649000000,,2781069000000
20120101,2101052000000,2914592000000,87904000000,417966000000,36640000000,520118000000,-1701349000000,146699000000,232197000000,49630000000,113209000000,8410000000,216412000000.0,,0,44585000000.0,11193000000,216208000000,52553000000,1770222000000,354756000000,26098000000,870000000,-935357000000,2418594000000,8579000000.0,3304078000000,8820000000,59065000000,-60415000000.0,-596069000000.0,,2781069000000,,2185000000000
20130101,2210902000000,2956633000000,73096000000,381320000000,10732000000,448239000000,-2390714000000,36504000000,244680000000,99379000000,62481000000,9796000000,1396000000.0,,57314000000,29733000000.0,25455000000,258264000000,28211000000,2117161000000,408327000000,75000000,-3822000000,666971000000,2534016000000,23946000000.0,1808559000000,40000000,58526000000,-26889000000.0,460270000000.0,,2185000000000,,2645270000000
20140101,2029186000000,2903252000000,75835000000,439787000000,17363000000,527477000000,-2396714000000,22351000000,187648000000,64600000000,100635000000,17616000000,680000000.0,2603000000.0,0,0.0,18708000000,142463000000,40865000000,2165948000000,418155000000,7783000000,0,64296000000,2530287000000,1075000000.0,2392532000000,0,73459000000,-97632000000.0,-400864000000.0,,2645270000000,,2244406000000
20150101,2618775000000,3347226000000,75579000000,466160000000,71897000000,409767000000,-1933212000000,39309000000,162167000000,78818000000,81575000000,1999000000,54050000000.0,750000000.0,0,112340000000.0,34125000000,141290000000,39637000000,1747253000000,483592000000,0,-18803000000,-188918000000,1980473000000,480000000.0,2061111000000,723000000,109003000000,-30895000000.0,465750000000.0,,2244406000000,,2710156000000
20160101,3157990000000,3979344000000,77639000000,433709000000,71919000000,537203000000,-2390720000000,32663000000,139949000000,42892000000,103824000000,2523000000,25000000000.0,21853000000.0,4328000000,6535000000.0,15315000000,123181000000,77623000000,2019014000000,457077000000,66526000000,-11684000000,-278833000000,1750751000000,133000000.0,1918592000000,6422000000,117414000000,-183456000000.0,304981000000.0,,2710156000000,,3015137000000
20170101,2166270000000,2937550000000,81268000000,384446000000,68471000000,536573000000,-2582872000000,22062000000,159885000000,27532000000,628342000000,2043000000,51676000000.0,0.0,12710000000,13942000000.0,17976000000,130915000000,49759000000,2575542000000,643772000000,79665000000,-3482000000,840836000000,2224377000000,47000000.0,1266787000000,0,116754000000,-88774000000.0,335460000000.0,,3015137000000,,3350597000000
20180101,4541566000000,5292811000000,100503000000,425816000000,68717000000,494649000000,-4420289000000,33742000000,140267000000,65516000000,147541000000,2751000000,8000000.0,0.0,39092000000,49618000000.0,27161000000,138587000000,63166000000,3166489000000,677882000000,87510000000,-738029000000,819254000000,2279823000000,0.0,1338002000000,0,122567000000,-20740000000.0,919791000000.0,,3350597000000,,4270388000000
