,영업활동현금흐름,영업으로부터 창출된 현금흐름,이자의 수입,이자의 지급,배당금의 수취,법인세의 납부,투자활동현금흐름,단기금융상품의 순증감,장기금융상품의 증가,장기금융상품의 감소,당기손익-공정가치 측정 금융자산의 취득,당기손익-공정가치 측정 금융자산의 처분,당기손익-공정가치 측정 금융부채의 증가,유형자산의 취득,유형자산의 처분,리스채권의 회수,무형자산의 취득,무형자산의 처분,기타포괄손익-공정가치 측정 금융자산의 취득,기타포괄손익-공정가치 측정 금융자산의 처분,관계기업및공동기업투자주식의 취득,관계기업및공동기업투자주식의 처분,사업결합으로 인한 현금의 순증감,종속기업의 관계기업 전환 등으로 인한 순현금흐름,단기대여금의 순증감,장기대여금의 순증감,기타투자활동으로 인한 현금유출입액,재무활동현금흐름,단기차입금의 차입,단기차입금의 상환,장기차입금의 차입,장기차입금의 상환,사채의 발행,사채의 상환,리스부채의 상환,당기손익-공정가치 측정 금융부채의 증가,자기주식의 취득,자기주식의 처분,배당금지급,종속기업의 유상증자,주식선택권 행사,비지배지분과의 거래로 인한 현금유입,비지배지분과의 거래로 인한 현금유출,종속기업의 유상감자,기타재무활동으로 인한 현금유입액,기타재무활동으로 인한 현금유출액,현금및현금성자산에 대한 환율변동효과,현금및현금성자산의순감소,기초현금및현금성자산,기초 매각예정자산으로 분류된 현금및현금성자산,기초 재무상태표상 현금및현금성자산,기말현금및현금성자산
20100101,533965879781,664582918866,21833399061,6693237104,151131114,145908332156,-458955908498,733549151828,0.0,,,,,124219079167,5578714738,,52367940369,2245619211,,,10704542913,0.0,-116675829829.0,-1836790783.0,,,,-27710477616,54222850000,38500000000,90284219963.0,11055980549.0,,,,,176316643900.0,,0.0,,,,,,,,25073536,,507619336843,,,554943904046
20110101,418454349470,569219085226,29534041183,11644423745,1953593816,173756500170,-317865876071,530220146217,3031170553.0,,,,,122365032226,1302967482,,18893004316,10582691455,,,7927944500,250005000.0,-725913684.0,0.0,,,,-189082339682,119198920000,117062510000,1400000000.0,11011798832.0,,,,,194667558450.0,,,,,,,,,,-179358721,,554943904046,,,466270679042
20120101,595501146395,737228140874,36286114984,9341918518,3371709290,172042900235,-689985126417,967756354767,8972843836.0,,,,,280362446429,3313450863,,29113963675,429792769,,,5354196000,19523838987.0,-11687124.0,3743204.0,,,,23941233638,13807400000,32759429491,219775500000.0,50039528311.0,,,,,117317749520.0,,23567660040.0,,,,,,,,-293271545,,466270679042,,,395434661113
20130101,627952380000,804725955000,28144611000,-8266251000,4445938000,-201097873000,-423361308000,-590973290000,571325000.0,525413000.0,,,,-379576901000,18360075000,,-60845261000,20926588000,,,-11744250000,11556379000.0,,,,,,-162058390000,95415141000,36360942000,2999998000.0,-1922648000.0,111041634000.0,,,,-10177376000.0,,-26815132000.0,,,,,,,,-2709502000,39823179000.0,395434661000,,,435257840000
20140101,836558093307,1046607158926,20538013696,5333839021,9199740177,234452980471,-436149624183,-94266490154,24013267124.0,,,,,271268627799,11003346568,,6430278708,366783306,,,22554751300,,-1479976577.0,30106640008.0,,,-6863009552.0,-111910895493,296969118973,289169600500,150432623643.0,,,,,,248428242520.0,,21870480530.0,,,,,,,,-1229101150,287268472481.0,435257840429,,,722526312910
20150101,851367412445,1087915691287,28992544627,6402743975,8391316422,267529395916,-785858501641,-540835258765,43050000000.0,,,,,120794916406,2317872703,,15846552754,513450649,,,31219735536,573236928.0,-32945879579.0,30898580015.0,,,1976543245.0,5898778302,195578068896,153960560000,,,150000000000.0,4590746257.0,,,159399898570.0,,23042933594.0,,,,,,,,19457893439,90865582545.0,722526312908,,,813391895453
20160101,1164024257897,1471646010009,29646878900,6732073925,8272597252,338809154339,-941712566991,-292254027607,175854608696.0,10050000000.0,,,,153799500551,56618452246,,20810426358,187761297,,,104722327187,2712000000.0,-4597667305.0,7300449311.0,,,-92636441891.0,697849839617,232880139130,468100761103,,,,105454275958.0,,,304437387130.0,,32130689800.0,1374092814478.0,,,,,,,-7321644685,912839885838.0,813391895453,,,1726231781291
20170101,939981997688,1294925991320,40844270854,2113445772,21196536973,414871355687,-1310331331653,160523617087,183619742032.0,10000000000.0,,,,472167146968,5965531286,,31072901155,3132644885,,,136126745603,7150302942.0,-198281260652.0,1799666549.0,,,70389096479.0,636244225939,122544486739,123466235617,49026203012.0,,,,,,,498449944178.0,32581184103.0,129793266196.0,,,,,,,-84551612598,181343279376.0,1726231781291,,,1907575060667
20180101,973506368153,1455189893246,27124396728,10694341270,27727492377,525841072928,-388286947217,651167198299,13756962062.0,12000000000.0,,184109996728.0,,535035089109,17665787353,,46274584498,4126716005,208558868121.0,100973500025.0,502976581662,6111466320.0,-6879491848.0,-28108469981.0,,,-22851564666.0,750979898112,533051141952,408323250753,50973796988.0,,705013490134.0,150000000000.0,,,124458933570.0,,42469708296.0,190557847107.0,,,,,,,79109722852,1415309041900.0,1907575060667,,,3322884102567
20190101,1356843480419,1835912025978,17559981761,39296364906,20742864205,478075026619,-1078128842424,162122479766,,,362880751518.0,192427912981.0,,435908502083,6743736986,257941120.0,75729758448,4766029881,40967500755.0,97789083542.0,621718974099,18714872614.0,-4991454614.0,9787731685.0,3807864455.0,90000000.0,-32439553937.0,52336566385,220649373194,76172581572,,,,,138021891444.0,,93689325190.0,,46861536936.0,179186404036.0,,13072761459.0,5921420442.0,,344186027.0,249402747.0,86578454471,417629658851.0,3322884102567,,3322884102567.0,3740513761418
20200101,1447212217640,2041772594491,20014015757,71543208626,30187486156,573218670138,-2503202276036,-25654808271,2560000000.0,21200000000.0,5243104789547.0,3894138692719.0,,759403180962,8987856807,1417837269.0,106290121972,3304588760,50971937342.0,232310319161.0,504730950380,104952900033.0,2260617141.0,-20383308053.0,-35244144863.0,-11864566845.0,-11567279691.0,1192133678978,2116540667363,915187873624,886562480808.0,,5960669395.0,789055599548.0,174107173293.0,,15516003480.0,,54949639640.0,1023167174015.0,,46060159984.0,945751987650.0,,23806129662.0,15395325014.0,-30989618453,105154002129.0,3740513761418,,3740513761418.0,3845667763547
20210101,1379905728836,2070030950700,26262580497,58256588522,54754937073,712886150912,-13998804731074,-348046243066,,,6449235633165.0,6505643614364.0,,753942606877,6695944177,3773243178.0,51876515767,167684511,509090098200.0,229335330042.0,1005949593054,440573420629.0,-692206904793.0,-11244715159430.0,-115777475728.0,-40000000.0,-14113737895.0,11642326424402,260601900208,529248749764,1598040294214.0,2642484.0,9403866052933.0,,114274687061.0,386482769394.0,,176145173981.0,59784555522.0,,39796328200.0,114530208868.0,350963263102.0,,1070216109602.0,353078515065.0,-87699641884,-1064272219720.0,3845667763547,2245363413625.0,1600304349922.0,2781395543827
20220101,1453390444990,2298686419871,20673303127,40173810844,34753150218,860548617382,-1215888095959,-574934228334,,,5151401634229.0,4727172598822.0,16016168742.0,700733545914,12203857538,7462366762.0,55500428444,923978480,46595632596.0,126380427929.0,257838142800,702978746957.0,4264026832.0,,-494633010.0,146412000.0,6093902790.0,-339465120952,139564583333,358505249749,106435416667.0,100690379540.0,,,178551442728.0,130504106918.0,,,213363927393.0,,61406468500.0,87981692188.0,15572499931.0,,3916338007.0,2590227224.0,44735549802,-57227222119.0,2781395543827,,2781395543827.0,2724168321708
