,영업활동으로 인한 현금흐름,영업활동에서 창출된 현금흐름,연결당기순이익,조정,감가상각비,무형자산상각비,금융수익,금융비용,법인세비용,유형자산손상차손,유형자산처분이익,유형자산처분손실,무형자산손상차손,"종속기업,관계기업및공동기업처분이익","종속기업,관계기업및공동기업처분손실",지분법손익,매각예정자산손상차손,매각예정자산처분이익,퇴직급여,대손상각비,재고자산평가손실,충당부채전입액,보험금수익,기타비용(수익),영업활동으로인한자산ㆍ부채의변동,이자의 수취,이자의 지급,배당금의 수취,법인세 지급,투자활동으로 인한 현금흐름,단기금융상품의 취득,단기금융상품의 처분,대여금의 지급,대여금의 회수,유가증권의 취득,유가증권의 처분,장기금융상품의 취득,"종속기업,관계기업및공동기업투자의 취득","종속기업,관계기업및공동기업투자의 처분",투자부동산의 취득,투자부동산의 처분,유형자산의 취득,유형자산의 처분,무형자산의 취득,무형자산의 처분,매각예정자산의 처분,리스채권의 회수,연결실체 변동으로 인한 순자산 취득,연결실체 변동으로 인한 순자산 처분,사업결합으로 인한 현금유출,보험금의 수령,기타 투자활동으로 인한 현금유출입액,재무활동으로 인한 현금흐름,사채 및 장기차입금의 차입,사채 및 장기차입금의 상환,단기차입금의 순차입,비지배주주의 자본불입,배당금의 지급,자기주식의 취득,신종자본증권 이자지급,리스부채의 상환,상환전환우선주 상환,기타 재무활동으로 인한 현금유출입액,외화환산으로 인한 현금의 변동,현금의 증가(감소),기초의 현금,기말의 현금
20100101,3582006250991,4350095862460,4185651472948,4617914618301,,,,,,,,,,,,,,,,,,,,,-4453470228789,322658745373,480019843316,141017239461,751745752987,-6914820782499,14546300557019,17576747099472,82078655108,25946447868,,,,914491084815,19394065536,,,5791764341381,165794294456,246466476251,4963641132,,,-3079898955433.0,6746522266.0,,,531569237825.0,4587760733605,4367192674364,882476736798,1200954932425,,693295902000,,,,,531569237825,-6959751043,1247986451054,2273058771549,3521045222603
20110101,1691565432550,3127904592096,3714285845394,4264365709891,,,,,,,,,,,,,,,,,,,,,-4850746963189,218681750089,745110881958,308691667321,1218601694998,-5516866471730,4556340264057,5794769591140,962098551992,896655524600,,,,740971136417,2404099523,,,5330967994255,140220788886,574752905508,55899133508,,,-437463566476.0,,,,,4899885370149,7068322390971,1746487479712,51808260987,,770857695000,-61296116240.0,,,,107213935792,3052402075,1077636733044,3521045222603,4598681955647
20120101,7319456884559,8488067060460,2385606843047,4169102638722,,,,,,,,,,,,,,,,,,,,,1933357578691,238231508387,874710697437,178317126400,710448113251,-6169003105338,3616118362834,3847682245623,434156117470,318744695686,,,,492681338396,18428414005,32691062364.0,42615878473.0,7054543280612,272948176493,448214090789,10945455201,,,-98879942700.0,13040859608.0,,,1090900993444.0,-907627135356,3007017294752,1884140729454,-1412137769989,,751908275301,,,,,1090900993444,-160982206523,81844437342,4598681955647,4680526392989
20130101,4858135043053,6051365642501,1355180337664,4812617182138,,,,,,,,,,,,,,,,,,,,,-116431877301,227988794415,797316113951,193008458202,816911738114,-8751669531705,4449312164435,3901527305204,575342767239,417971246523,,,,1076763086291,89532685394,20944844081.0,8463637631.0,6569612822102,82151466069,543665728601,5429147514,,,5728791380.0,5961716669.0,,,7311512463.0,3532335704101,5098702228156,2845957033088,86474735228,385121850129.0,648579538851,,26087935625.0,,,7311512463,-110765614635,-471964399186,4680526392989,4208561993803
20140101,3412099309521,4738095877846,556659145957,6095408991227,,,,,,,,,,,,,,,,,,,,,-1913972259338,238817129350,882182897765,114693557165,797324357075,-3745181888255,3096601586388,4635119847710,361671210096,76717159932,,,,702988667295,21359336419,406602949302.0,43167088069.0,3505549177647,62829370890,343804311160,9042541197,1290780001.0,,-388577919973.0,48949091746.0,,,-14335540412.0,135111807963,2522494931096,2802149760653,1037912368468,54065816800.0,677000008488,,69713116414.0,,,-14335540412,11545728608,-186425042163,4208561993803,4022136951640
20150101,7601828931643,8620098718621,-96181234235,5962241072749,,,,,,,,,,,,,,,,,,,,,2754038880107,198193050895,831565789663,237715177851,622612226061,-4534676340375,13037989949685,10595379160866,295689177389,308905657552,,,,77154793309,11812574291,61477669374.0,1120374926.0,2560243880055,59030962084,289148403186,12831761516,127133107829.0,,0.0,469576461215.0,,,-19098900102.0,-2241601330606,1779096649043,3509970218041,-846229644034,1260052721043.0,822569769233,,67724613684.0,,,-19098900102,23496019022,849047279684,4022136951640,4871184231324
20160101,5269417624166,6203287862270,1048168659851,5580933870387,2835842952079.0,378003760780.0,-882904694908.0,1501952651121.0,384684821136.0,196882073975.0,-23825516139.0,86622271986.0,127875264837.0,-23304987845.0,22499022896.0,88676613431.0,24890260220.0,-23112443420.0,333138795965.0,202717783325.0,152248790096.0,189914275029.0,,8132175823.0,-425814667968,206838520552,691264253585,152559251498,602003756569,-3754627358319,18578808582392,17177408655446,603332376969,557063917164,0.0,0.0,,173769336053,7914132854,45735180114.0,11624476348.0,2324112012557,44329716488,138180639289,8672381419,305812595521.0,,4502670048.0,21222929948.0,,,18844523292.0,-3950967040168,1988664641083,4274895287139,-885861283754,24703620982.0,708970144930,,68097490400.0,,,18844523292,12611063578,-2423565710743,4871184231324,2447618520581
20170101,5607310243858,6678946588469,2973469160759,5631751915206,2887645825722.0,409773690591.0,-1376324225507.0,1440281550267.0,1206222500387.0,117231400318.0,-32144860848.0,151342538635.0,167994719590.0,-81793896776.0,19985343023.0,-10539676056.0,,-1179759418.0,199925723811.0,271871464351.0,78559978331.0,215382542060.0,,-9092347122.0,-1926274487496,244980312745,735735154629,225514466612,806395969339,-3817874626487,20843530223787,19146633574802,1055894885471,667045394968,,,,60276715073,74880669873,69169495088.0,5771081318.0,2287580477780,39182899957,343422718297,28502226551,203957945810.0,,-174165263561.0,-53008177800.0,,,-37378350998.0,-1565527906930,1725982760450,3136015729288,558083259657,266219219686.0,863449858777,,67783120536.0,-10536083275.0,,-38028354847,-58995992558,164911717883,2447618520581,2612530238464
20180101,5869724523645,7183218357798,1892064406279,7343684659955,2911048098978.0,356580711994.0,-737744966051.0,1168225329120.0,1670756763812.0,1004703769786.0,-53138502918.0,117613510914.0,337518808817.0,-45240731630.0,5226191840.0,-112635408060.0,50828737221.0,,216488730892.0,137872747269.0,141799096025.0,240146039432.0,,-66364267486.0,-2052530708436,352336285720,750410490804,224409921581,1139829550650,-2647969547707,32173133673375,31105544464951,627782878584,941962483526,-321915528627.0,221646436132.0,,47355260970,88852061870,44106251865.0,70817007778.0,2135549897018,90411502958,447615965307,77654389087,93337698675.0,,,447916755444.0,,,11347107618.0,-3195047920679,2762446169243,3136308060570,-854554049075,5807525000.0,723933607396,,46165531497.0,-30480601650.0,,-11859764734,4627568591,31334623850,2612530238464,2643864862314
20190101,6004655014887,7690717079224,1982637208513,5748869253811,3029868020014.0,431247101433.0,-855382279002.0,1197704856891.0,1070640792106.0,442699742816.0,-49366841155.0,120226610976.0,191020980339.0,-27835721103.0,6539171002.0,-273740796144.0,38327997500.0,,240424874551.0,52218245242.0,96201081733.0,76537936114.0,,-38462519502.0,-40789383100,320336173224,760175364183,266773705199,1512996578577,-3682858684045,36063406158634,35415822490384,450637905529,398838488708,-296826829949.0,62491512774.0,,160403734128,16458003303,19344487765.0,12056646001.0,2519218988560,51799719649,299586979610,24160796010,67245556451.0,56889012447.0,-37344790137.0,45359568445.0,,,12789396095.0,-1512178545060,5646976891977,3746844717569,-2194726946360,29474688136.0,946217783316,,16493999996.0,-167427291653.0,,-116919386279,61763420161,871381205943,2643864862314,3515246068257
