,영업활동으로 인한 현금흐름,영업에서 창출된 현금흐름,당기연결순이익,수익ㆍ비용의 조정,영업활동으로 인한 자산ㆍ부채의 변동,이자의 수취,배당금수취,이자의 지급,법인세의 납부,투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,단기금융상품의 순감소,단기투자자산의 순감소,단기대여금의 회수,장기금융상품의 감소,장기투자자산의 처분,관계기업 및 공동기업투자의 처분,매각예정비유동자산의 처분,유형자산의 처분,무형자산의 처분,장기대여금의 회수,보증금의 감소,파생상품거래로 인한 현금유입,종속기업지분의 처분,사업결합으로 인한 순현금유입,영업양도로 인한 순현금유입,투자활동으로 인한 현금유출액,단기금융상품의 순증가,단기대여금의 대여,장기대여금의 대여,장기금융상품의 증가,장기투자자산의 취득,관계기업 및 공동기업투자의 취득,유형자산의 취득,무형자산의 취득,보증금의 증가,사업결합으로 인한 순현금유출,재무활동으로 인한 현금흐름,재무활동으로 인한 현금유입액,단기차입금의 순증가,사채의 발행,장기차입금의 차입,당기손익인식금융부채의 증가,파생상품거래로 인한 현금유입,비지배주주와의 거래,재무활동으로 인한 현금유출액,단기차입금의 순감소,장기미지급금의 상환,사채의 상환,장기차입금의 상환,배당금의 지급,신종자본증권의 이자지급,리스부채의 원금 상환,자기주식의 취득,인적분할로 인한 현금유출,비지배주주와의 거래,현금및현금성자산의 증가,기초의 현금및현금성자산,외화표시 현금및현금성자산의 환율변동효과,기말의 현금및현금성자산
20100101,4343404901000,5133707866000,1766834754000,3089520974000,277352138000,208444252000,32393684000,-364704439000,-666436462000,-2339031625000,1239297763000,0,168259809000,216856796000,2500000,630029888000,58873271000,0,94253806000,6826079000,17822797000,0,1254574000,0,0,0,-3578329388000,0,221307969000,36549146000,54877000,150447372000,736104754000,2142309559000,128031613000,0,88681972000,-2246122346000,263803193000,42736789000,149307700000,30909978000,2381454000,0,35260000000,-2509925539000,0,739333806000,605140000000,200000000000,682282675000,0,6451855000,30909978000,10777925000,1990561000,-241749070000,905560524000,-4406519000,659404935000
20110101,6306394700000,6987977807000,1582073280000,3225681570000,2180222957000,156745362000,34520896000,-301632392000,-571216973000,-4239061009000,725867301000,0,125000000000,194561400000,5000000,256666337000,6381091000,0,35196660000,3833171000,33824342000,0,0,0,0,0,-4964928310000,0,233189041000,13856160000,7515687000,323246137000,239975494000,2960556563000,598437697000,0,412255546000,-1079314842000,1401891120000,66277383000,1129532753000,0,4121917000,0,4006680000,-2481205962000,0,224581340000,842160000000,512376960000,668292991000,174222490000,0,0,3071111000,86284807000,988018849000,659404935000,3370092000,1650793876000
20120101,3999664000000,4609832000000,1115663000000,3289861000000,204308000000,88711000000,27732000000,-363685000000,-362926000000,-5309584000000,1831226000000,464531000000,65000000000,282658000000,23000000,511417000000,1518000000,43093000000,271122000000,21048000000,11525000000,41785000000,12003000000,0,89002000000,20794000000,-7140810000000,26651000000,245465000000,3464000000,16000000,92929000000,3098833000000,3394349000000,146249000000,43534000000,0,585267000000,4245254000000,129000000,2098351000000,2059004000000,1853000000,87899000000,0,-3659987000000,51831000000,102672000000,1145691000000,1660509000000,655133000000,0,0,61401000000,8619000000,5415000000,-724653000000,1650794000000,-6016000000,920125000000
20130101,3558570000000,3915055000000,1609549000000,3275376000000,-969870000000,64078000000,10197000000,-300104000000,-130656000000,-2506477000000,1251786000000,186425000000,0,290856000000,16000000,287777000000,43249000000,45032000000,12579000000,2256000000,13104000000,8509000000,0,190393000000,0,20342000000,-3758263000000,215939000000,279926000000,4050000000,7510000000,22141000000,97366000000,2879126000000,243163000000,83314000000,0,-573157000000,1852237000000,0,1328694000000,94805000000,683000000,19970000000,0,-2425394000000,105055000000,161575000000,771976000000,467217000000,655946000000,0,398518000000,340245000000,1830000000,0,478936000000,920125000000,-422000000,1398639000000
20140101,3677385000000,4070982000000,1799320000000,2978995000000,-707333000000,56706000000,13048000000,-280847000000,-182504000000,-3683165000000,341387000000,5627000000,0,207439000000,2535000000,65287000000,7333000000,0,25143000000,10917000000,4454000000,8891000000,124486000000,3667000000,0,19388000000,-4024552000000,0,202501000000,4341000000,2522000000,41305000000,60020000000,3008026000000,130667000000,6903000000,174209000000,-559399000000,1421088000000,0,1255468000000,62552000000,94000000,200000000,0,-1980487000000,552000000,207791000000,1039938000000,23284000000,666802000000,16840000000,102868000000,0,18233000000,6444000000,-565179000000,1398639000000,969000000,834429000000
20150101,3778129000000,4080294000000,1515885000000,3250143000000,-685734000000,43400000000,62973000000,-275796000000,-132742000000,-2880499000000,914542000000,0,105158000000,398308000000,7424000000,149310000000,185094000000,0,36586000000,3769000000,2132000000,14635000000,13197000000,1009000000,10355000000,3206000000,-3795041000000,155000000,370378000000,16701000000,10008000000,312261000000,65080000000,2478778000000,127948000000,12536000000,0,-964583000000,1375206000000,385612000000,1375031000000,0,607000000,175000000,0,-2339789000000,0,191436000000,620000000000,21924000000,668494000000,16840000000,0,106600000000,2542000000,655000000,-66953000000,834429000000,1446000000,768922000000
20160101,4243168000000,4713426000000,1660101000000,3039561000000,13764000000,44602000000,98267000000,-245236000000,-367891000000,-2462208000000,1140664000000,222322000000,0,238980000000,28000000,555519000000,66852000000,300000000,22549000000,16532000000,1960000000,14894000000,4498000000,0,0,26000000,-3602872000000,0,239303000000,32287000000,342000000,30949000000,130388000000,2490455000000,635387000000,12943000000,19032000000,-1044829000000,861624000000,0,776727000000,49000000000,728000000,251000000,35646000000,-1906453000000,6334000000,122723000000,770000000000,33387000000,706091000000,16840000000,0,257386000000,763000000,0,736131000000,768922000000,189000000,1505242000000
20170101,3855820000000,4492891000000,2657595000000,2096764000000,-261468000000,66713000000,106674000000,-234127000000,-576331000000,-3070607000000,456778000000,0,0,216700000000,27000000,129726000000,5925000000,0,29368000000,8848000000,6205000000,24550000000,1185000000,30132000000,4112000000,0,-3527385000000,156012000000,205878000000,5869000000,2034000000,19328000000,193100000000,2715859000000,145740000000,26377000000,26566000000,-826618000000,1261803000000,127386000000,973291000000,120000000000,0,188000000,40938000000,-2088421000000,28975000000,305476000000,842733000000,32701000000,706091000000,16840000000,0,0,47000000,79311000000,-41405000000,1505242000000,-6102000000,1457735000000
20180101,4332580000000,4726856000000,3131988000000,1568919000000,25949000000,59065000000,195671000000,-255189000000,-393823000000,-4047725000000,686094000000,0,0,117610000000,5000000,371816000000,74880000000,0,58256000000,5851000000,10075000000,7490000000,0,0,38925000000,0,-4733819000000,373450000000,112319000000,6057000000,2000000,19114000000,206340000000,2792390000000,503229000000,8591000000,654685000000,-238313000000,4651687000000,0,1809641000000,1920114000000,1186000000,23247000000,499926000000,-4890000000000,49791000000,305644000000,1487970000000,1780708000000,706091000000,15803000000,0,0,5927000000,76805000000,46542000000,1457735000000,2422000000,1506699000000
20190101,4034984000000,4439642000000,860733000000,4435039000000,-856130000000,56392000000,241117000000,-360439000000,-341728000000,-3581584000000,755162000000,253971000000,29503000000,113345000000,231000000,234683000000,220000000,27712000000,18478000000,7327000000,4435000000,9180000000,601000000,4802000000,5016000000,45658000000,-4336746000000,0,116320000000,11541000000,0,383976000000,264015000000,3375883000000,141010000000,6164000000,36910000000,-686674000000,2047268000000,927000000,1633444000000,0,0,12426000000,101398000000,-2733942000000,59860000000,428153000000,940000000000,89882000000,718698000000,14766000000,443238000000,0,0,39345000000,-233274000000,1506699000000,-2601000000,1270824000000
20200101,5821876000000,6059650000000,1500538000000,4256654000000,302458000000,41832000000,166019000000,-397351000000,-48274000000,-4250402000000,428948000000,0,17684000000,77114000000,99000000,46065000000,2715000000,0,102526000000,39654000000,4608000000,16244000000,845000000,165000000,115834000000,5395000000,-4679350000000,596025000000,103604000000,11044000000,2000000,95474000000,170292000000,3557800000000,129976000000,12175000000,2958000000,-1457579000000,3499642000000,76375000000,1420962000000,1947848000000,0,36691000000,17766000000,-4957221000000,0,428100000000,975500000000,1950874000000,742136000000,14766000000,412666000000,426664000000,0,6515000000,113895000000,1270824000000,-15066000000,1369653000000
20210101,5031279000000,5324073000000,2418989000000,3473779000000,-568695000000,37403000000,327906000000,-306634000000,-351469000000,-3486189000000,600188000000,162565000000,32544000000,137196000000,343000000,78261000000,100634000000,0,61425000000,14618000000,4166000000,6941000000,1495000000,0,0,0,-4086377000000,0,100209000000,9877000000,21000000,286566000000,222765000000,2915851000000,392588000000,51274000000,107226000000,-2053611000000,1796824000000,0,873245000000,350000000000,129123000000,332000000,444124000000,-3850435000000,50823000000,426267000000,890000000000,286868000000,1028520000000,14766000000,431674000000,76111000000,626000000000,19406000000,-508521000000,1369653000000,11599000000,872731000000
20220101,5159317000000,5785375000000,947831000000,4719438000000,118106000000,52163000000,16388000000,-259719000000,-434890000000,-2807795000000,1229923000000,264693000000,5010000000,123700000000,330032000000,104190000000,342645000000,20136000000,15792000000,10993000000,1134000000,10056000000,1542000000,0,0,0,-4037718000000,0,127263000000,11724000000,330032000000,436753000000,11065000000,2908287000000,138136000000,12146000000,62312000000,-1349882000000,1802041000000,130000000000,1200122000000,440000000000,0,768000000,31151000000,-3151923000000,0,400245000000,1390000000000,41471000000,904020000000,14766000000,401054000000,0,0,367000000,1001640000000,872731000000,7920000000,1882291000000
