,영업활동현금흐름,영업활동으로창출된현금,이자의수취,배당금의수령,이자의지급,법인세의납부,투자활동현금흐름,단기금융기관예치금의 감소,단기금융기관예치금의 증가,장기금융기관예치금의 감소,장기금융기관예치금의 증가,당기손익-공정가치측정금융자산의처분,당기손익-공정가치측정금융자산의취득,파생상품순결제액,단기대여금의 감소,단기대여금의 증가,기타포괄손익-공정가치측정금융자산의처분,기타포괄손익-공정가치측정금융자산의취득,상각후원가측정금융자산의처분,상각후원가측정금융자산의취득,관계기업투자의 처분,관계기업투자의 취득,종속기업투자의 처분,종속기업투자의 취득,유형자산의 처분,유형자산의 취득,무형자산의 처분,무형자산의 취득,투자부동산의 처분,투자부동산의 취득,장기대여금의 증가,장기대여금의 감소,보증금의 감소,보증금의 증가,장기선급금의 지급,연결범위변동에 따른 현금증가,재무활동현금흐름,단기차입금의 순증가,유동장기차입금의 상환,장기차입금의 조기상환,리스부채의 상환,기타금융부채의 취득,비지배지분의 감소,임차보증금의 증가,비지배지분부채의 증가,사채의 발행,장기차입금의 증가,비지배지분의 증가,배당금의 지급,유상증자,자기주식의 처분,현금및현금성자산의순증가(감소),기초현금및현금성자산,환율변동으로인한증감,기말현금및현금성자산
20100101,608292352781,668544343628,22470608481,1524574180,17195665781,67051507727,-507741158047,312539097157,-235879051671,,,,,22495466571,,,,,,,,,-17602797743.0,-54568611687.0,19830727014,327575059083,1990909090.0,5279122932,1501947600.0,,500000000.0,,402934228,1585172151,,,34201400012,256770961660,15699053580.0,,,,,,,114670262000.0,6879000000.0,,40720815500,,,134752594746,217726472982,-3345976453,351395532504
20110101,909319543738,1046791422780,24489969560,1248374200,15970448621,147239774181,-326134987657,68161931244,-73169236626,5500000.0,-10601642965.0,,,9581709100,,,,,,,,,-1097653884.0,,130158829,252042741800,888181818.0,12535286935,,,34953520996.0,,1198867312,3051432410,,,-134301973011,-95169699057,9398718354.0,,,,,,,,15962384400.0,,45665590000,,,448882583070,351395532504,3164593311,803442708885
20120101,498585128887,731025417012,48154134027,2613089007,11612455421,271595055738,-593794821360,93516402500,-173099990391,1959261984.0,-19000000.0,,,13861853917,500000000.0,,,,,,,,,-362784000.0,282143695,303463340468,890000000.0,6609134280,168100000.0,-729376910.0,32365941107.0,,3873914812,3446034832,,,-223986151276,90049793878,237172220354.0,-166600000.0,,,,,,,13172065200.0,,89869190000,,,-319195843749,803442708885,-8923113616,475323751520
20130101,728854802116,825110392496,40082003397,2765738702,7542956182,131560376297,-530391349190,96669000000,-118843157313,21945828045.0,,,,4173841868,4702561182.0,-7267501468.0,,,,,,,-12368871.0,,70929071,289883129501,1323636364.0,7793858057,,,695108955.0,,966305909,1873034482,,,-251512861495,-41350371584,13226809096.0,,,,,,,,,,89821190000,,,-53049408569,475323751520,-2531421150,419742921801
20140101,403850642360,500536680148,37641000286,2327816375,2400206591,134254647858,-563587742734,153010000000,-197025266413,,,,,-3341204185,44764324.0,-11481730.0,,,,,,,,,3835758759,391584263447,92727273.0,162052500,300000000.0,,,,1512785426,261539940,,,-86544452526,15026491922,11648134448.0,,,,,,,,,,89922810000,,,-246281552900,419742921801,1906535294,175367904195
20150101,944860095270,1080783828519,23875213452,2697920011,2022861859,160474004853,-650784624251,168150000000,-77839936210,,,,,1016379100,6430122.0,-1530618134.0,,,,,,0.0,,,6372473945,479884968664,,301121860,,,0.0,,1712155814,676374621,,,-236269636445,-102042442085,11123655530.0,-6669368830.0,,,,,0.0,,,,116434170000,,,57805834574,175367904195,6324120178,239497858947
20160101,680703744719,833867543243,26823387286,6505103200,1325754550,185166534460,-458973219058,154007620000,-140789970377,4000000.0,-227236181853.0,,,1947195328,15435543.0,,,,,,,,,,2730975918,184494473611,2077232900.0,2269204600,,,,,1944674590,290672491,,,-156539766407,4303991193,9007513600.0,,,,,,,,,,151782650000,,,65190759254,239497858947,4582452210,309271070411
20170101,796812343465,1019366512904,36665212562,2696182040,831749906,261083814135,-323708942928,137160000000,-173269295797,2546447509.0,-149400000.0,,,17242477609,483400000.0,-14671139.0,,,,,,-3500000000.0,,,1194321710,496986935770,140000000.0,2975455584,,,-12000000000.0,4000000000.0,544532570,594601782,,,-172517182315,-7552239695,6394956100.0,,,,,,-8256732010.0,,,-8256732010.0,151782650000,,,300586218222,309271070411,-12969843049,596887445584
20180101,888331257909,1053273669830,55836258002,2772445680,1021984749,222529130854,-649742277870,439551728449,-325474369022,,,1662539601792.0,-2202202536711.0,-874913814,428560000.0,-53634882.0,63279343445.0,-1340335000.0,5860000.0,-13840000.0,,-3500000000.0,,,1486303294,316159836098,,7945133332,,,-500000000.0,14428400000.0,342914098,368189239,,,-182943823022,1758868930,5059206840.0,-5059206840.0,,,,,,,,-1349362500.0,178294736712,,,55645157017,596887445584,3557265578,656089868179
20190101,692660279007,851034068014,53750750816,2438005300,732945598,213829599525,-473864320878,675445841147,-744803755903,,,1966087968141.0,-2171558536727.0,1917393874,1638900180.0,,147374826933.0,-10068020000.0,10135000.0,-12300000.0,,-10000000000.0,,,645106450,358140007607,3620000000.0,7295393018,,,-500000000.0,1605082048.0,239880700,389475292,,,-190911553410,11886928843,,-4830355891.0,-3361988369.0,,,,,,,-201822103.0,195970655770,,,27884404719,656089868179,5543784472,689518057370
