,영업활동으로 인한 현금흐름,영업활동에서 창출된 현금,당기순이익(손실),조정,영업활동으로 인한 자산부채의 변동,이자의 수취,이자의 지급,배당금의 수취,법인세의 납부,투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액, 단기금융상품의 감소, 단기투자증권의 처분, 단기대여금의 회수, 장기금융상품의 감소, 장기투자증권의 처분, 장기대여금의 회수, 관계기업 및 공동기업투자의 처분, 종속기업의 취득으로 인한 순현급유입액, 종속기업의 처분으로 인한 순현금유입액, 유형자산의 처분, 무형자산의 처분, 투자부동산의 처분, 매각예정자산의 처분, 리스채권의 회수, 기타 투자활동으로 인한 현금유입,투자활동으로 인한 현금유출액, 단기금융상품의 증가, 단기투자증권의 취득, 단기대여금의 대여, 장기금융상품의 증가, 장기투자증권의 취득, 장기대여금의 대여, 관계기업 및 공동기업투자의 취득, 종속기업의 취득으로 인한 순현금유출액, 종속기업의 처분으로 인한 순현금유출액, 유형자산의 취득, 무형자산의 취득, 투자부동산의 취득, 파생상품평가부채의 감소, 기타 투자활동으로 인한 현금유출,재무활동으로 인한 현금흐름,재무활동으로 인한 현금유입액, 단기차입금의 순증가, 유동화채무의 차입, 장기유동화채무의 차입, 사채의 발행, 장기차입금의 차입, 장기임대보증금의 증가, 유상증자, 신주인수권 행사, 종속기업의 유상증자, 종속기업의 신주인수권 행사, 판매후리스부채의 증가, 기타 재무활동으로 인한 현금유입,재무활동으로 인한 현금유출액, 단기차입금의 순감소, 유동성장기부채의 상환, 유동화채무의 상환, 장기차입금의 상환, 사채의 상환, 리스부채의 상환, 판매후리스부채의 상환, 자기주식의 취득, 주식발행비용, 종속기업투자주식의 추가취득, 종속기업의 배당금 지급, 종속기업의 상환전환우선주 상환, 종속기업의 자기주식 취득, 기타 재무활동으로 인한 현금유출,현금및현금성자산의 환율변동으로 인한 효과,매각예정자산으로 분류,현금및현금성자산의 순증감,기초 현금및현금성자산,기말 현금및현금성자산
20100101,652223014961,1008519865862,,,,30958937454,-322002179861,6425897396,-71679505890,-1328448029369,,,,,-10053942077,0,2702748240,3971206080.0,,,2588634822,12615901234,3347457785.0,,,,,,3347457785.0,,20575437480,-16678638428,-9659158467,,-109175319856.0,,-270755403936,-97990845451,360000000000.0,,,176551658313,,-85000000.0,360000000000,,677048396368,113187499319,,-50000000000.0,,,,,,,-15591555541.0,-954249525473,-50000000000.0,192613279253,-15591555541.0,,,0.0,,,,,63199.0,,-52689680999,,-552363037094,2069968730259,1517605693165
20110101,128241756920,916702858042,439770016847.0,1814284736169.0,-1337351894974.0,91869058928,661505245520,4462795625,223287710155,-778375904806,1109546316011.0,194499536233.0,148143538813.0,290262410183.0,0,56288876516,10021194521,1897488618.0,,308233731026.0,87096991269,4172251275,44985239551.0,,,,-1887922220817.0,172530623090.0,80230000.0,564986726639.0,16909999999,23100171595,109579719860,77054369467.0,-51353583905.0,,692810025218,160924367789,272098559032.0,,,577387300624,5517251002365.0,0.0,338350000000,338350000000.0,2328827457646,2461169698693,,0.0,,77197775000.0,,,,-4939863701741.0,0.0,4235646801091,294306881772.0,94401537331,111335513043.0,,,-51353583905.0,,,0.0,,-18672633255.0,,-27953540574,,-100700387836,2337584736133,2236884348297
20120101,-327226066001,1074331999402,97475586606.0,1835842591112.0,-858986178316.0,85375600491,1215366405655,6455014353,278022274592,-1091471373172,537299680473.0,72576472947.0,4151170000.0,318523712594.0,2524467359,8669434807,1496624257,0.0,,,110572135345,4766666227,1518996937.0,,,,-1628771053645.0,242935163970.0,0.0,333653422966.0,17444235809,67555363527,1364792000,13272284877.0,,,697165619586,255380170910,0.0,,,1011951447312,4074472497627.0,152061921672.0,330000000016,330000000016.0,1580757793885,1478984400000,,0.0,,530535202054.0,,,,-3062521050315.0,0.0,2428799578047,388559277489.0,10840288898,167447660442.0,,,0.0,,,-101023939.0,,0.0,,-2986646302,,-409732638163,2236884348297,1827151710134
20130101,150437826314,871850798660,18662825932.0,1777624103190.0,-924436130462.0,65650972160,700940713445,5624266779,91747497840,-1048383347463,616858058290.0,139897985814.0,47109274754.0,119408535287.0,9611466277,93255887013,27494654224,,,,109620267563,4424797402,56475398106.0,,,,-1665241405753.0,426032782232.0,39282339734.0,389349882306.0,22234079904,28438447392,22196476852,72999741669.0,,,401455378897,262340746210,911530557.0,,,4013982789,4407035042324.0,,620000000000,620000000000.0,1155801483500,1330355765610,,,,883915833144.0,,,,-4403021059535.0,17005645675.0,2336435388570,656800000000.0,982493058161,310174143523.0,,,11768002116.0,,,-17862000000.0,,11768002116.0,,9541490600,,-884390047760,1827151710134,942761662374
20140101,603808922454,1399114247015,-85475347180.0,1830501922424.0,-345912328229.0,55528847058,618203026965,1558270393,234189415047,-544738511865,668610861316.0,288798834598.0,73071978911.0,181531790623.0,4431747297,6911704798,78556516994,6474033289.0,,,14126457253,3555188974,1486728579.0,,,,-1213349373181.0,95207452344.0,65228155478.0,104582725328.0,1117551401,20269579917,293311264050,268400000.0,,,372668244664,260695999999,,,,326347849486,5507657268169.0,580935632821.0,1028000000000,1028000000000.0,649688561247,2842390469873,,372678874818.0,,,,,,-5181309418683.0,,2030330435447,829350000000.0,1990867314625,137771678621.0,,,85674337740.0,,,-28418000000.0,,85674337740.0,,-30619708487,,354798551588,942761662374,1297560213962
20150101,-74372146286,565940588916,-1750899329509.0,2796807824518.0,-479967906093.0,41862736122,576553756935,1716215002,107337929391,-379715191840,842311411325.0,202203565224.0,80499361714.0,103894172141.0,11158450670,15745912830,132493369838,5999506443.0,,126667468493.0,30891342577,2863652101,1577382829.0,,,,-1222026603165.0,79222803135.0,3955604933.0,155702429216.0,56094727889,12416609062,212259140998,1108000000.0,54940467860.0,126667468493.0,388747759099,253851630523,3727430450.0,,,1058645079958,4838023592354.0,1172995994644.0,1294518541269,1294518541269.0,710193878690,742556421012,,,,916677759896.0,,,,-3779378512396.0,,1255456228592,1203450000000.0,1094394528323,45694643604.0,660278141.0,,9997743330.0,,,-85494554491.0,,9997743330.0,,-9110207916,,595447533916,1297560213962,1893007747878
20160101,967566785961,1491876388986,-215524785947.0,1667514803768.0,39886371165.0,39862994719,495762417342,303597150,68713777552,804766783274,1970231156575.0,297898738398.0,,65275787851.0,63611006170,2435824713,229701707401,,,,69257010540,1636717701,1173000000.0,,,,-1165464373301.0,95091693985.0,127937629145.0,27800272132.0,16895446044,131466690976,179347198041,9791807060.0,31841144402.0,,290902622062,248694126605,1122000000.0,,,-2251618951835,3041909023273.0,,714113619260,714113619260.0,735050064828,886199800000,,,,694701094.0,-182305200.0,,,-5293527975108.0,-865054268013.0,2189786666558,682900000000.0,636852572778,300602677526.0,149982177.0,,,,,-53324066352.0,,12326365036.0,,-41177184921,,-520462567521,1893007747878,1372545180357
20170101,429324784710,915211992032,-109688010762.0,1927880888075.0,-902980885281.0,48819579898,450278642618,2418130866,86846275468,-457137175002,529247917065.0,62613996581.0,1032750000.0,22682497753.0,3815552944,86107848209,171467917148,,,7681720761.0,65618637439,5065871259,13088324900.0,,,,-986385092067.0,74714189155.0,146271516.0,22831467294.0,10157643555,20531110565,265483561847,2013022000.0,33901864924.0,7681720761.0,277268881055,277895048431,,,,703612291698,6141673819344.0,941739587791.0,1492932369119,1492932369119.0,2128041350520,1350379324151,,,4651450.0,,-108178950.0,,,-5438061527646.0,,2713376372308,1386950000000.0,636148293548,,,,,,-15397465480.0,-47792407120.0,,,,-78198076995,,597601824411,1372545180357,1970147004768
20180101,989560098943,1479138134144,-421725111585.0,1977140965216.0,-76277719487.0,44527025788,441769661692,2527971414,94863370711,-792967954882,495302061393.0,28514477910.0,171575839650.0,61191764632.0,26541592648,13933825504,137885071022,4400000000.0,,18190238952.0,30945823222,2123427853,,,,,-1288270016275.0,192467598730.0,50672900940.0,20760428199.0,73854397933,39283294056,284003894212,74122234188.0,,,231413553611,309784390949,,,-11907323457.0,-110115948599,5560467044625.0,,2047500000000,2047500000000.0,542739813997,2093874122358,,,16332469.0,,-31631142591.0,,,-5670582993224.0,-836548065004.0,1817226471976,2204081747692.0,357480925681,,,,135234686.0,8247908039.0,-35796000000.0,-50730761821.0,,,,18705493088,,105181688550,1970147004768,2075328693318
20190101,433679709050,1031213931567,-104367151406.0,1941459055749.0,-805877972776.0,41306217133,446725761394,1325542753,193440221009,-579672423227,783555799684.0,208736213869.0,19462935481.0,31716806560.0,18138956195,23993375220,289314179416,1583765000.0,,24052573921.0,158421189421,4171598941,,,3964205660.0,,-1363228222911.0,84111790349.0,65715048943.0,50176628577.0,15317962712,39060956934,321767263984,12912750000.0,,,377389228462,385396995198,992815000.0,,-10386782752.0,-530527982485,5428617852716.0,910964629135.0,1957800000000,1957800000000.0,899204755526,848880483945,,471750000000.0,923157.0,14194322104.0,-4427010.0,,,-5959145835201.0,,2133369883863,2188655209184.0,1141828603716,,91304765981.0,,,9387044272.0,,-61866047310.0,,,,42472690559,,-634048006103,2075328693318,1441280687215
