,영업활동현금흐름,영업으로부터 창출된 현금흐름,당기순이익(손실),당기순이익조정을 위한 가감,법인세비용(수익),이자비용,이자수익,배당금수익,외화환산손실,외화환산이익,지분법손실,지분법이익,파생상품평가손실,파생상품평가이익,파생상품거래손실,파생상품거래이익,당기손익-공정가치금융자산평가손실,당기손익-공정가치금융부채평가손실,당기손익-공정가치금융자산평가이익,당기손익-공정가치금융부채평가이익,당기손익-공정가치금융부채처분손실,당기손익-공정가치금융자산처분이익,비지배지분평가이익,기타포괄손익-공정가치금융자산처분손실,금융보증비용,금융보증수익,보험금수익,관계기업투자처분손실,공동영업처분이익,염가매수차익,유형자산처분손실,유형자산처분이익,유형자산손상차손,유형자산손상차손환입,사용권자산손상차손,사용권자산처분손실,사용권자산처분이익,사용권자산변경이익,무형자산처분손실,무형자산손상차손,무형자산손상차손환입,영업권손상차손,매각예정비유동자산처분손실,매각예정비유동자산처분이익,매각예정비유동자산손상차손,재고자산평가손실(환입),재고자산폐기손실,대손상각비(환입),기타의 대손상각비(환입),감가상각비,사용권자산상각비,무형자산상각비,충당부채의 전입(환입),퇴직급여,장기종업원급여(환입),기업회계기준서 제1029호 효과,영업활동으로인한자산ㆍ부채의변동,매출채권의 감소(증가),기타채권의 감소(증가),재고자산의 감소(증가),기타금융자산의 감소(증가),기타자산의 감소(증가),매입채무의 증가(감소),기타채무의 증가(감소),기타금융부채의 증가(감소),기타부채의 증가(감소),순확정급여부채의 증가(감소),법인세납부(환급),투자활동현금흐름,단기금융상품의 처분,장기금융상품의 처분,기타금융자산의 처분,당기손익-공정가치금융자산의 처분,기타포괄손익-공정가치금융자산의 처분,공동영업의 처분,관계기업투자의 처분,공동기업투자의 처분,단기대여금의 감소,유형자산의 처분,무형자산의 처분,매각예정비유동자산의 처분,이자수취,배당금수취,보험금 수취,파생상품거래의 정산(유입),사업결합으로 인한 현금유입,단기금융상품의 취득,기타금융자산의 취득,당기손익-공정가치금융자산의 취득,장기금융상품의 취득,기타포괄손익-공정가치금융자산의 취득,단기대여금의 증가,유형자산의 취득,무형자산의 취득,투자부동산의 취득,관계기업투자의 취득,공동기업투자의 취득,종속기업 취득을 위한 선급금의 증가,파생상품거래의 정산(유출),사업결합으로 인한 순현금유출,재무활동현금흐름,단기차입금의 증가,장기차입금의 증가,사채의 증가,파생상품거래의 정산(유입),종속기업의 신주발행,임대보증금의 증가,단기차입금의 상환,유동성장기차입금의 상환,장기차입금의 상환,사채의 상환,이자의 지급,배당금지급,리스부채의 원금상환,파생상품거래의 정산(유출),임대보증금의 감소,자기주식의 취득,환율변동효과 반영전 현금및현금성자산의 순증가(감소),기초현금및현금성자산,현금및현금성자산에 대한 환율변동효과,기말현금및현금성자산
20100101,1053843790162,,900013132309,275087068428,290337278944,53300741687,51128381112,1521244010,42187266653,16253710506,,,614232210.0,-28679175926.0,,,14448257.0,14448257.0,199011960.0,-199011960.0,,,,,,,,975763150.0,,,1824398733,16380972502,,,,,,,,,,8298746119.0,,,,,,106233500,36869183811.0,303854258461,,3799329713,,11696497935,772210344,,,-152447945845,3688738960,-200527147052,31946083227,-35022439187,-41015714918,44647784881,-11770202271,22891071604,-19043503427,121256410575,-1651358814716,2703336430342.0,137163074.0,12560780282,,2497666839.0,,4332611961.0,,,32942031419,14000000.0,,53427572484,1521992907,,,,2528810312609,2849712963,,256863494.0,6031573401.0,,415300982514,1179114729,695183430.0,1405022500.0,5137840000.0,,,,439202740491,107220089998,,689306452000.0,,,,115030558458,,,136502314745.0,47008681298,57384638470,5949158400.0,,,,-158312284063,692470918499,-3800740513,530357893923
20110101,1618342724705,,1132553550571,840972829334,393877961358,78978206705,47949036249,322540080,81397916250,12076471847,,,,-5040000000.0,,,5005051200.0,5005051200.0,3971446560.0,-3971446560.0,,,,,,,,,,-8831702187.0,5459224243,1083087196,,,,,,,4000.0,,,13149067754.0,,,,3376276703.0,,-266610061,,375729074222,,2886843040,,15174891492,-96190968,,,-426323491520,-4496302048,-161761720879,62075514090,-28433182949,527641781244,35224253539,6286959416,8032851611,-21532357652,355183655200,-960317414759,178244165015.0,,20071293861,,285644446.0,,,,,19869466966,,,45886971498,17507195831,,,,89510537150,3159082404,,25023558123.0,639020000.0,,932997943582,3610944507,440031087.0,149883514562.0,56152330000.0,,,,49285031598,550208069270,,498660208960.0,,,,833894516165,,,,80233171086,65410092876,22989225292.0,,,,707310341544,530357893923,13583363595,1251251599062
20120101,102810958490,,316144804534,65920639402,60407846243,68908193973,41078513740,2949828240,41466634889,82857112563,,,42872220000.0,,,,1974149240.0,1974149240.0,586662720.0,-586662720.0,364840.0,-3584584809.0,,,,,,,,,613962567,11924035840,2361761726.0,,,,,,,5103901564.0,,10804777488.0,,,,11893449520.0,,-3937456215,,457097225785,,2899489427,,16861225041,946978534,,,62128770800,-49433256287,-290367139109,21571539,14626591648,-11851076615,-133585164815,-84338810215,15169549196,-26549793020,279254485446,-446876824530,370054063491.0,116312217.0,28109839329,,246094443.0,,,,,16035102102,300000000.0,,45100172731,20449828240,,,,4872526249,26543463675,,5262954.0,1925106430.0,,598090268096,11757191279,32812040.0,275650936360.0,8410670000.0,,,,-157460766206,1067858208278,,,,,,842904197492,,,100000000000.0,65368242904,69960697183,2305780620.0,,,,-501526632246,1251251599062,-4908377709,744816589107
20130101,359300991208,,285824983019,177306339536,88767377493,88113496527,24704715624,179718340,36240902895,49424628375,,,8574283000.0,,,,7655871990.0,7655871990.0,,,,-1323482030.0,,,,,,,,,706789850,9527062731,11334560255.0,,,,,,,2808345472.0,,5225512052.0,,,,-3214825757.0,,1638668803,51157470.0,505001149310,,2034272694,,19524091677,-1594963902,,,391718641,11068706987,-136445994381,-32209190,5048709637,-337107620089,-59139313187,-7525388810,-7413580072,-22649358408,103830331347,-549790220535,6219929397.0,7500000.0,2754663871,,296511161.0,,,,,15695801248,,,24010719030,13408418340,,,,114893473576,11804621255,,7000000000.0,254275000.0,,289253668290,298319638,26624210556.0,98817350432.0,63237844835.0,,,,432384694804,3142592554131,,398551100000.0,,,,2605371663740,,,391600000000.0,85514350636,33652031000,461570380.0,,,,241895465477,744816589107,-7622175250,979089879334
20140101,308483946403,,143653052352,243933666427,133648428872,88418934819,31436386457,3860606370,47480454771,34354476061,,,,14568434500.0,,,,,771883206.0,-771883206.0,53742.0,-888763538.0,,,,,,,,,11180246388,23839030281,35186820940.0,,,,,,,-1158490202.0,,,,,,16983293932.0,,2346517739,420580173.0,490093458590,,1547604975,,20601747171,663642212,,,251234383437,-45201287752,102706184007,-45350582146,-27714216750,-701749846205,33075031440,-30852630492,5564664140,-20311702215,79102772376,-390589243565,8528612563.0,1500000.0,5254125121,,312590000.0,,,,,34017368696,,,31394985918,23457955992,,,,29924122037,24515361637,,2492770.0,66808978832.0,,290988026236,8836833,78226540.0,64106080000.0,17459256970.0,,,,47592207421,4135618797144,,648728400000.0,,,,3957702813359,,,650968333333.0,87916591060,33692031000,,,,,-34513089741,979089879334,4725945791,949302735384
20150101,2595626910168,2825790464686.0,990655495309,1096032631728,430712512057,69947513679,38468071085,588387880,56483669492,29986640126,54572435889.0,31166499398.0,245000000.0,13736004000.0,,12771440000.0,173087329.0,173087329.0,9039741773.0,9039741773.0,9985204973.0,,,,,,,,,,15811558714,3167754839,86558845118.0,,,,,,,36589800.0,,,,,,-14544529075.0,,453126255,674000000.0,484827471613,,2838956910,,26922842039,165220953,,739102337649.0,271264766831,118266152803,411081114997,4160199170,3076801209,-23834004935,6081707207,6905957020,-37436956436,-33416066680,230163554518,-1273452580553,25595244935.0,2500000.0,5618174169,,921714165.0,,,,,53170182356,130372726.0,,38693620055,37588387880,,,,578598889042,2280939818,,17000000000.0,10034804400.0,,355355967948,8501550658,,138265420000.0,39000000000.0,,,,-333868224696,2558969903242,4788423000.0,470262500000.0,,,,2704289337216,,192360437800.0,367421174649.0,70126070273,33692031000,,9985204973.0,,,988306104919,949302735384,4609815565,1942218655868
20160101,2700639428999,3073925305400.0,1837184919078,1375435299793,650188180879,76514064726,28814875650,690201149,93138780898,58479396307,18041536631.0,89488666096.0,565189932.0,12258967885.0,7598903500.0,6580540000.0,,,649593756.0,649593756.0,,,,,,,,,,,20281471019,401118659,19142619950.0,,,,,,,,,,,,,-5331064833.0,,593181697,-646949857.0,561225936027,,67924995337,15721570204.0,37277569272,2200807449,,-138694913471.0,-128102962072,-2570903758,-125775162256,-14027743913,-36060777287,153551639895,35301782151,32549112182,-9005148519,-44554749894,373285876401,-3564635824107,454282386854.0,247854531.0,3094321295,,639020000.0,,,,,10927987855,,,32124084940,30190201149,,3988499.0,,10675647197,732074246,11178676480.0,,125128199842.0,,1588147530846,6881759929,19136013226.0,418692211769.0,13400000000.0,,,-1902173555695.0,1100504035762,2265614490418,102146880000.0,758400400000.0,3988499.0,4933345637.0,,1623466323406,,49455039015.0,190000000000.0,82409692105,84241662267,,1018363500.0,,,236507640654,1942218655868,24218168702,2202944465224
20170101,3129011398101,3719321439300.0,2284576938361,1364787004615,800109102761,107123859951,62758352955,794570800,62377256153,100926658689,9793735299.0,294237428967.0,42982149113.0,700741078.0,5685584709.0,3050694253.0,,28345993258.0,6457141148.0,6457141148.0,21670343.0,778494580.0,,,,,,,,,11072968891,1387454845,,,,,,,24961000.0,,,,,,,-289243723.0,,53078588,-7114589.0,605950238878,,85212994043,-5476055900.0,42631245900,1913628071,,69957496324.0,-172619571444,20477188539,-100974124070,-13324227831,36970778951,314219287459,-24261553617,44822959941,16717672403,-52070914007,590310041199,-4717557637782,,3000000.0,2005837211,,40512840844.0,,,,,2937892146,300000000.0,,52361498981,61409802300,,2597840521.0,,2786597801239,9688916334,,1206738291.0,4739816684.0,,2019897194135,2655888102,,,54899995000.0,,2597840521.0,,1114530248362,1919940373508,795174953562.0,189446260000.0,5060032500.0,935236075999.0,,2495821718368,,18998112000.0,200000000000.0,90352011359,134782880000,,3738865000.0,,,-474015991319,2202944465224,-43716484875,1685211989030
20180101,1380927825833,2205944751828.0,1641934137836,1107240718652,610717958486,83188521615,104646195750,1244349109,43506353890,31497841889,58565152508.0,260882097575.0,181960253.0,8791198846.0,2463791718.0,8734670000.0,,18155958263.0,7554505733.0,7554505733.0,1108873923.0,542889772.0,,846922406.0,,,,,42360969063.0,,2211475103,3596358101,712396323.0,,,,,,69536875.0,,,,,,,25807307675.0,,1269316901,-157244.0,602930424737,,82106847161,-1641240747.0,44890369915,1959787368,,-543230104660.0,122316172909,28635280493,-258120135736,36723785569,-3469690441,-328062063371,-13866314581,-53768588414,-29369436532,-44249114556,825016925995,-1763101864188,27859488633.0,,861548735,,144335202551.0,,67117896437.0,,,14897907398,,,99105488469,91861513219,,3388517989.0,,168220213812,172609554,1600000000.0,,,,1846449598620,1399497676,,195995686650.0,,,1574431307.0,,44829295983,2238849812196,1026132701248.0,199440060000.0,2972199772.0,,,2130915765241,,23956180000.0,776210120000.0,68527662015,411494632605,,10204081750.0,,,-337344742372,1685211989030,-17892780555,1329974466103
20190101,1277869267059,1942819723888.0,756665993886,1073809111665,389970380485,113221897070,103434178084,974476409,38785963004,33543241728,127739802739.0,312641755525.0,718835171.0,2687132384.0,7830962743.0,8367225378.0,,29468329969.0,535729139.0,535729139.0,404824974.0,79619400.0,,595726342.0,663000000.0,906592402.0,,,120845260517.0,,10162422290,11887236823,37336761100.0,,,344146380.0,123547.0,344146380.0,15484544.0,,,102367196929.0,,,,-7060501600.0,,135729568,1770647558.0,636277797515,,95284131205,33172120295.0,49531881044,992431676,,112344618337.0,44957002143,-13283325727,60524879558,-34098016230,-3694927688,170133369648,-22469610400,-43356426735,22882858762,-69251184994,664950456829,662354130984,2236389717083.0,,8144948921,,25859795610.0,,,,,21713543877,718597098.0,,105581063400,122207775892,,46785916.0,,507221033731,3437654728,784676200000.0,300000000.0,12119873353.0,,892236381094,143104213928,,296000000000.0,50000000000.0,,46785916.0,111595797855.0,-1899985127301,1499539862749,170779004358.0,398949640000.0,2064022730.0,20000000.0,,1642564899430,,1213191465715.0,590000000000.0,96745721591,396654943600,30223485672.0,1884366621.0,,,40238270742,1329974466103,-18257867997,1351954868848
