,영업활동현금흐름,당기순이익(손실),조정,자산 및 부채의 증감,이자의 수취,이자의 지급,배당금의 수취,법인세의 지급,투자활동현금흐름,기타투자자산의 감소,매각예정비유동자산의 처분,유형자산의 처분,무형자산의 처분,종속기업및관계기업투자의 감소,정부보조금의 수령,기타투자자산의 증가,유형자산의 취득,무형자산의 취득,종속기업및관계기업투자의 증가,재무활동현금흐름,단기차입금의 차입,장기차입금의 차입,종속기업의 유상증자,배당금지급,사채의 상환,단기차입금의 상환,장기차입금의 상환,종속기업의 유상감자,리스부채의 상환,현금및현금성자산의 증감,기초의 현금및현금성자산,환율변동으로 인한 현금흐름,기말의 현금및현금성자산
20090101,854934948157,241348711658,612854468028,,48273208163,40437755412,15939316497,23043000777,-331834951146,121332805758,,5861553454,8720467758.0,11370000000.0,,14377747272.0,212777561460,22912187000.0,,-61489694081,816955840.0,199118154484.0,114848485.0,37519253356,,215738324752.0,28918075447.0,4117483450.0,,461610302930,977812448644,-5682031994,1433740719580
20100101,488905234180,385112341709,93619470388,,44709894802,25343521268,23345901310,32538852761,-252094550629,168752695888,,51689776042,210896352.0,12150000000.0,,23790603900.0,398642144695,1059277000.0,,-622773392505,30938707703.0,,122727273.0,60166162584,,580928863213.0,36397833850.0,,,-385962708954,1433740719580,18537955686,1066315966312
20110101,299737322233,351054914570,-54319941030,,25741504584,18107543002,18730867150,17797625889,-879098639107,107247925873,,28895447699,,33745169951.0,,38712500887.0,435502267447,23027155846.0,380000025765.0,268584196929,458793712480.0,,60606060.0,77093817050,,103628437761.0,,15615623800.0,,-310777119945,1066315966312,2122188723,757661035090
20120101,577802328577,1486814347987,-840563821709,,18965092891,25200932349,19145705149,81358063393,-511272617872,24410914161,,41836221557,34729743.0,6651980943.0,,50192377287.0,459720981610,,,112800078530,484625937110.0,275049940294.0,1818182.0,76370322486,,532946498571.0,10000000000.0,,,179329789235,757661035090,9525507754,946516332079
20130101,308449759876,147915701017,323888652685,-123340505287.0,18699072263,34027364737,19163710495,43849506560,-504231031808,129260657966,,68727685017,,,,9408544767.0,667127019122,1198127461.0,4393346238.0,-25689848951,349336025266.0,190890064699.0,,92897534596,,598872767096.0,,10547714224.0,,-221471120883,946516332079,5130872247,730176083443
20140101,310592822342,-80314437457,440093117329,10126041827.0,27572854944,48120739396,11381936380,50145951285,-327630150047,66259132605,,42099121749,,238618454.0,,,476280780751,2791645595.0,,-83809919496,,,25261951900.0,83003620640,,61265668408.0,200000000000.0,,,-100847247201,730176083443,-1800681462,627528154780
20150101,881066558064,25685765743,330626724205,623637525389.0,30917429529,62434653883,19378256678,86744489597,115330186664,679934718519,15174033617.0,20480746514,109430017.0,85080863350.0,,,725906415683,16085315077.0,3764145000.0,-354654943962,45129692928.0,99483541084.0,30680388479.0,72104439124,,,6535156891.0,18576340580.0,,641741800766,627528154780,18698418603,1287968374149
20160101,-1309519499261,211111190212,150042110160,-1412929477523.0,26597528604,41711984363,11784589039,254413455390,1854263840116,102684288895,947177078429.0,79348617419,158377646.0,3794963259.0,,514869799935.0,832629248011,9013857250.0,,-818702101147,506456966617.0,67928374262.0,49592088583.0,72677362476,,615069068991.0,,14251654212.0,,-273957760292,1287968374149,-2308738529,1011701875328
20170101,-250114337079,643193862964,28551060622,-841269491768.0,24795841574,17222345587,7792822525,95956087409,89325271436,859175555686,126950296276.0,34385213109,18704303040.0,,58107103538.0,12990584308.0,991466935920,3618463701.0,,353392514348,708535313139.0,197870435396.0,3094550400.0,70027436205,,92724838561.0,299909004661.0,4260000.0,,192603448705,1011701875328,4710339757,1209015663790
20180101,260609735389,745049185447,629720088707,-979201820654.0,17250051513,48904349559,25532901800,128836321865,-1704729197368,576569660465,,3742952500,500292480.0,,41074937706.0,147385243252.0,2146134809196,13186617270.0,,1756125863962,1080084321705.0,793007291713.0,56321980000.0,71719718489,,393049639687.0,249580359808.0,107500000.0,,312006401983,1209015663790,-4436518796,1516585546977
20190101,923071632668,402366429569,981811235384,-306525781905.0,18526591410,76707916337,17560342245,113959267698,-1535059765165,354134808478,14985000000.0,19321225868,2388236528.0,,11132956765.0,28435487348.0,1898302351538,5117253918.0,,238934747615,616344421550.0,829278138624.0,14871010104.0,66937928740,,862536300892.0,265800161063.0,84400000.0,26200031968.0,-373053384882,1516585546977,12763258589,1156295420684
20200101,1948820240507,630966297526,1083053412867,391515981529.0,12380644336,58100631064,13580121562,124575586249,-1778432984467,35210001360,1038723012.0,9976839576,5550412288.0,,4700984847.0,73340022498.0,1728269788047,4300095005.0,29000040000.0,240618953464,1271203046418.0,740043844833.0,213300000.0,69176595714,100000000000.0,1095524548897.0,485032942883.0,30480000.0,21076670293.0,411006209504,1156295420684,-21327308387,1545974321801
20210101,2176027358565,1250401560241,1187697644221,-24604442118.0,13573960109,48651257909,15385096369,217775202348,-1949533211819,273753610636,,10692315194,1746071614.0,1389603087.0,86857352097.0,42291984192.0,2254718265711,2291914544.0,24670000000.0,582723399679,1443570249492.0,881522738917.0,34860680000.0,69335475252,370000000000.0,1100904053479.0,205899906750.0,6683613662.0,24407219587.0,809217546425,1545974321801,-29499519850,2325692348376
20220101,2641096163726,2039361447986,1283815710912,-368780788474.0,34121360448,81139252120,12250891850,278533206876,-2946236118966,223573857487,,20379232796,1122015350.0,19709386447.0,52827227830.0,408355803055.0,2808898170363,4583865458.0,42010000000.0,628699235652,1239602699382.0,807737420000.0,191354614000.0,69498551473,,1508607083125.0,1296151610.0,29750000.0,30563961522.0,323559280412,2325692348376,-34979778890,2614271849898
