,영업활동 현금흐름,영업에서 창출된 현금흐름,이자의 수취,이자의 지급,배당금의 수취,법인세의 납부,투자활동 현금흐름,단기금융상품의 증감,기타유동자산의 증감,장기금융상품의 증감,유형자산의 처분,무형자산의 처분,보증금의 감소,기타포괄손익-공정가치측정금융자산의 처분,당기손익-공정가치측정금융자산의 처분,매각예정자산의 처분,유형자산의 취득,무형자산의 취득,보증금의 증가,기타포괄손익-공정가치측정금융자산의 취득,당기손익-공정가치측정금융자산의 취득,관계기업투자주식의 취득,기타비유동자산의 증감,재무활동 현금흐름,단기차입금의 차입,단기차입금의 상환,사채의 상환,리스부채의 상환,임대보증금의 감소,배당금지급,비지배지분의 납입,비지배지분의 감소,현금및현금성자산의 증감,기초 현금및현금성자산,현금및현금성자산에 대한 환율변동효과,기말 현금및현금성자산
20120101,629466381765,719534677472,20995018898,1743282857,1499460000,110819491748,-292816452545,-167603504984,-2136169472,,18954333432,3288254989,,941466561,0,39440000,329854281348,108872069659,,-23408843432,-7192095476,-1433579025,-9042721227,-14371333447,13280795927,6707076450,1892721879.0,18485910070,-2000000000.0,-2000000000,,,303561726951,275429756844,-18716868822,578991483795
20130101,512249857548,639078977738,18759155408,2994177779,1108088650,143702186469,-346360296967,37821521779,-633181452,206500000.0,12247347227,22014562,16948803960.0,18869103329,41649090867,35079100,298530196788,78788089266,18332362034.0,0,17771977129,0,-73999822,-20268669250,57384871,2214789429,17202662950.0,0,0.0,18623194000,-2101500000.0,,137817504406,578991483795,-7803386925,716808988201
20140101,996275205061,1096265188239,25469698058,1596530231,678123500,124541274505,-840299622496,480501388126,26733857,5013500000.0,21585365979,436982554,,70750414611,409854313,0,383855762511,80142151929,,0,82673473,762865214,-3467381301,-50994546282,0,56406,16385478983.0,19962658290,0.0,13883487389,,,99883813728,716808988201,-5097222555,816692801929
20150101,864766040610,991858501953,24675960666,1329672266,177685000,150616434743,-782412643089,258842567672,598172052,4002353027.0,7187152937,2594775740,13848232478.0,0,-93314392064,170971255,361836354088,217784475817,7341832998.0,906536961,796365254,1135288061,127398785100,-48078123631,0,3123431580,5168852522.0,10000000,127972.0,39456788750,0.0,0.0,40111877131,816692801929,5836603241,856804679060
20160101,622817968933,1009744763303,26482869053,712893399,10450000,412707220024,-253945699644,171646952868,446094456,500000.0,187678689097,11842514039,7859720187.0,26973980,293054916,3935237631,189803231893,86971321213,8902146961.0,0,-214764070,-35180720,-619591683,-44252133651,0,0,3420639063.0,40197540250,997015831.0,1666150889,0.0,0.0,333422779560,856804679060,8802643922,1190227458620
20170101,834847191286,968922950760,30259865840,614144156,18175000,163739656158,-970422623297,761199121276,621650641,4500000.0,1561431367,106430563,519211000.0,0,0,2882572,192068771788,30684845524,419987625.0,0,0,0,13447596518,-67645429457,2313599745,1788187040,4079731662.0,0,0.0,59535086750,774385884.0,0.0,-258766065342,1190227458620,-55545203874,931461393278
20180101,1196531554170,1330749415211,61863057751,38569693,15900000,196058249099,-818556277028,516486544740,-7004809295,-18097027818.0,1509595861,5888893,8174848980.0,0,0,0,251434878395,26121127847,8187779534.0,-2139000000,0,0,1224556867,-156208015453,10000000,10000000,,156995335500,,0,787320047.0,0.0,230222603365,931461393278,8455341676,1161683996643
20190101,893786644757,1129252958912,64746627104,131500711,15900000,300097340548,-606218259228,172409447364,9026390792,-4411757471.0,1531714801,2105601273,4893061646.0,2251342236,3874745064,0,341646845962,36869903223,7892929168.0,-9227592961,2308717465,-54554914392,-579007034,-308802660517,0,0,0.0,151868876017,0.0,156995404500,118620000.0,-57000000.0,-13500397764,1161683996643,7733877224,1148183598879
20200101,979402851889,1117344491990,75386948400,74491020,17250000,213271347481,-545187284297,312312507309,-24186979897,-18908864888.0,1007424734,172715149,5110598795.0,16801659711,1791146600,61548000000,235469100397,34352587772,11272423092.0,0,4515316666,0,9398950735,-351039848784,170576640,0,0.0,162342971624,0.0,188266513800,53860000.0,-654800000.0,51102229942,1148183598879,-32073488866,1199285828821
20210101,980238874630,1124866393254,56957636467,13091761384,22023318,188515417025,-826635058125,515289785566,-88083250,1520622359.0,299904969,306228378,8134221175.0,8875056005,0,0,286572609573,33167727079,21617713384.0,-4167799988,2218800000,0,17351427829,-323397914634,0,435728640,10000000.0,134632667724,429493971.0,187953766900,68846755.0,-5104154.0,-118397525567,1199285828821,51396572562,1080888303254
