,영업활동현금흐름,영업활동에서 창출된 현금,이자의 수취,법인세의 납부,영업활동순현금흐름 합계,투자활동현금흐름,기타금융자산의 감소,기타금융자산의 증가,공정가치측정금융자산의 처분,공정가치측정금융자산의 취득,유형자산의 처분,유형자산의 취득,정부보조금의 수취,무형자산의 처분,무형자산의 취득,사용권자산의 취득,배당금의 수취,매각예정자산의 처분,투자활동순현금흐름 합계,재무활동현금흐름,단기차입금의 차입,단기차입금의 상환,유동성장기차입금의 상환,장기차입금의 차입,장기차입금의 상환,리스부채의 지급,이자의 지급,배당금의 지급,비지배지분의 증감,재무활동순현금흐름 합계,현금및현금성자산의 증감,외화환산으로 인한 현금의 변동,기초 현금및현금성자산,기말 현금및현금성자산
20090101,740130721970.0,,11346990566,28504872701,740130721970,-717127834080.0,38520434658,36780231530,,,48270186006,751181579761,,1315185871.0,22343641859,,7964648541,,-717127834080,504512199042.0,809129978277,682428206661,150000000000,315944511677,70301755677.0,,60577620832,23813025818,,504512199042,682290156983,72501943187,333836920491,1088629020661
20100101,965098302263.0,,16605244812,116116430885,965098302263,-1200355262891.0,11346733371,127312525182,,,47524659668,1135877434802,,4534344.0,22441092242,,19684474727,,-1200355262891,-79672107483.0,1651680154503,1503596847526,430000000000,389663896340,45688639000.0,,71413425309,68146079377,,-79672107483,-314929068111,-78303247296,1088629020661,695396705254
20110101,489069656194.0,,14140959534,84295358297,489069656194,-975702649313.0,79255328136,15306009434,,,170337799303,1240224263860,,147430507.0,5778915927,,702000000,,-975702649313,301299545190.0,2117113169804,1964185372836,49568921344,360521145380,6001450000.0,,74643621742,87908728006,,301299545190,-185333447929,100226569273,695396705254,525902243565
20120101,1119364059428.0,1210548949824.0,15814442785,106999333181,1119364059428,-701646570026.0,46013440750,23199109981,,,49871134746,906771895016,,1830010000.0,10939083397,,9953718350,,-701646570026,-293534583976.0,543257253115,593797069875,321518423498,386377008707,191377254330.0,,61524192235,58246005860,,-293534583976,124182905426,-50943117669,525902243565,683529614355
20130101,904470057988.0,1065090686196.0,11962058238,172582686446,904470057988,-814863277925.0,14663130139,32197953306,,,20492798259,961414776534,351348178.0,747308275.0,22757883422,,9381190950,,-814863277925,40947038023.0,281759224744,212081701277,132184680000,300752262882,75737330966.0,,43764331959,79082437060,,40947038023,130553818086,-75600791396,683529614355,738482641045
20140101,372643433289.0,398640644484.0,9575826429,35573037624,372643433289,-372193999178.0,16506620381,791983312955,,,14990234505,859883961800,,1373671034.0,20944190900,,5915491800,,-372193999178,-21835570600.0,92096726986,239447413102,90642757258,344410254975,31196460210.0,,39161696231,58296275760,,-21835570600,-21386136489,-29071101384,738482641045,688025403172
20150101,,804597162924.0,14949428849,282429272210,537117319563,,777728823910,74564660419,,,185763404651,1196229279233,,31640453635.0,9345919246,,7853970510,,-221175132474,,190978881264,175572804864,458475734887,722899526350,,,40868222467,62971452329,,30258493207,346200680296,1031033168,688025403172,1035257116636
20160101,,702285900446.0,14768972900,37411114105,679643759241,,88528214569,297508736497,,,67837985416,1051853037876,,34933613724.0,7169821989,,4943181500,,-1186341529355,,259910030743,121468225893,180271019557,438412654227,27807998457.0,1981024771.0,48448555987,41009848407,1981024771.0,281298061440,-225399708674,-14046721321,1035257116636,795810686641
20170101,,775766668252.0,10092168186,68175232386,717683604052,,292195506580,94620093618,,,91594265409,1476318325155,,663753254.0,67818379986,,5140963400,,-1232276905640,,520596730880,104630832655,350758602000,275079559220,30522000632.0,,65707638170,47877329236,-101883208.0,196078004199,-318515297389,-32686059475,795810686641,444609329777
20180101,,1640496362856.0,11661145446,93488267315,1558669240987,,97469134564,212063539976,605759865545.0,27634521850.0,31547046319,1195189266500,,1908498380.0,12548914843,,12661738200,,-698089960161,,355811233383,534360947257,351337600000,484187346776,40429584000.0,,89188397902,60513599007,-1166792.0,-235832714799,624746566027,-66981424031,444609329777,1002374471773
20190101,,1285068685680.0,21135699942,284934155494,1021270230128,,220527891723,12875944485,10919488304.0,1109772000.0,36227293252,1547971686748,,15502733255.0,25950644840,,2687533400,785000000000.0,-517043108139,,147300644083,429314170175,362490729281,553257197006,329569783949.0,33506787317.0,89095645944,-75983779483,-139384058.0,-619542439118,-115315317129,-31570364266,1002374471773,855488790378
20200101,,1747183037233.0,11987369026,171093796251,1588076610008,,10785736432,12975411136,3561086253.0,3745493000.0,46953080752,756667711711,,41512013.0,23726796020,-2797607939.0,6175651200,,-732395953156,,841894567078,1001788923295,530298773280,630847814570,,19576492843.0,47347072681,83242156460,37040000.0,-209473996911,646206659941,-16241358281,855488790378,1485454092038
20210101,,1866485418998.0,8274286966,143515599757,1731244106207,,11148052447,20941014815,480683526.0,35813233098.0,18551678067,844237017708,44881468992.0,,30879134770,,5752874071,6000000000.0,-845055643288,,200193000000,553411118644,700629520893,79250455886,,20388259497.0,40354694151,131170767451,-14455881600.0,-1180966786350,-294778323431,41899739735,1485454092038,1232575508342
