,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,이자의 수취,이자의 지급,법인세의 납부,투자활동으로 인한 현금흐름,유동성 금융기관예치금의 순감소,유동성 당기손익-공정가치측정금융자산의 감소,상각후원가측정금융자산의 처분,비유동성 금융기관예치금의 순감소,기타포괄손익-공정가치측정금융자산의 처분,기타수취채권의 감소,유형자산의 처분,무형자산의 처분,투자부동산의 처분,매각예정비유동자산의 처분,사업결합 등으로 인한 순현금유입,관계기업으로부터의 배당금수익,기타의 현금유입액,유동성 금융기관예치금의 순증가,유동성 당기손익-공정가치측정금융자산의 증가,유동성 상각후원가측정금융자산의 순증가,비유동성 금융기관예치금의 증가,비유동성 당기손익-공정가치측정금융자산의 증가,기타포괄손익-공정가치측정금융자산의 취득,기타수취채권의 증가,유형자산의 취득,무형자산의 취득,사용권자산의 증가,관계기업투자주식의 증가,사업결합 등으로 인한 순현금유출,재무활동으로 인한 현금흐름,단기차입금의 증가,임대보증금의 수취,배당금의 지급,단기차입금의 감소,리스부채의 상환,자기주식의 취득,임대보증금의 반환,외화환산으로 인한 현금및현금성자산의 증감,현금및현금성자산의 순증감,기초의 현금및현금성자산,기말의 현금및현금성자산
20100101,360550544860,407148020924,8047380279,2121859103,52522997240,-392058460800,0.0,149521430.0,1525895941,6207881315.0,147411500.0,11948868990,14085513906,1525895941,147411500.0,4042376452.0,3212682936.0,0.0,3212682936.0,252085000.0,15840788775.0,,89171462217,,,17389260263,309782522782,5522102666,280372438.0,280372438.0,,-31816156802,0,3400225000.0,37976101910,0,9680843667.0,15840788775.0,,-2170253224,-65494325966,224636341892,159142015926
20110101,403013900531,454763773348,9456772808,1847609470,59359036155,-374304561662,16833050952.0,45903626670.0,558856745,1264872676.0,312812499.0,11958943435,10019507329,46421527780,312812499.0,33562863396.0,,0.0,45903626670.0,2037183300.0,517901110.0,,0,,,31866655038,316771244365,33701787958,,,,3739152514,46421527780,122365165.0,42682375266,1264872676,,517901110.0,,-3882434100,28566057283,159142015926,187708073209
20120101,275580852893,346360509546,8949566841,1197948428,78531275066,-253849024973,12455505843.0,0.0,455047050,0.0,12455505843.0,10296533545,9131480753,9559584127,559623902.0,5322821953.0,,7775993197.0,0.0,5034792800.0,1783590930.0,,1725378760,,,34854335101,231794267921,17681690131,0.0,,,-35311357123,9559584127,403515000.0,44870941250,0,0.0,1783590930.0,,-3421208370,-17000737573,187708073209,170707335636
20130101,426657194546,498058443793,9180186213,2653590156,77927845304,-348842812430,2247051825.0,0.0,880247094,0.0,0.0,8801808986,16645734678,0,94251892553.0,0.0,,19239222536.0,70574539767.0,522915000.0,4438130250.0,,1500002760,,,33026370716,323496313989,18508422548,0.0,0.0,,49194587069,94251892553,1409460000.0,44867846850,189458634,70574539767.0,4438130250.0,,-3704796536,123304172649,170707335636,294011508285
20140101,586111368887,700715226684,10576117040,2580118184,122599856653,-490716989684,2048811258.0,25448607867.0,1489872752,124947030147.0,0.0,10206086124,4189113490,2036787000,0.0,0.0,,,0.0,227320000.0,,,1979217860,,,32215437855,267182718696,56105390883,25448607867.0,124947030147.0,,-46276939245,2036787000,999790000.0,45524091441,2789634804,,2036787000.0,999790000.0,-569872578,48547567380,294011508285,342559075665
20150101,627503451005,788051927414,13667306196,3047530945,171168251660,-216948797284,0.0,16577606139.0,0,0.0,65296262835.0,13091303796,1746784216,0,0.0,40000000000.0,,0.0,0.0,3165330000.0,0.0,,1500002760,,,46071220780,215342167753,60704690699,16577606139.0,0.0,,-69419541154,1044785394,52790000.0,62666169772,7798156776,0.0,0.0,0.0,3473622772,344608735339,342559075665,687167811004
20160101,676951762504,891031529713,16402028486,3885760088,226596035607,-609625476294,0.0,0.0,0,0.0,0.0,19679604493,1232913824,156507365,0.0,145067000000.0,,0.0,0.0,6922995353.0,0.0,,3504076199,,,25256992099,494810173273,40257738268,115287910198.0,102332512292.0,,-132975805953,74732884301,1235095000.0,94557491018,5438482768,0.0,1932156384.0,73826432727.0,2185292601,-63464227142,687167811004,623703583862
20170101,512563468600,755689578348,13881600981,4209689679,252798021050,-400840861116,264966000000.0,0.0,0,1422569522.0,130717834795.0,19517221707,1269254322,578443302,3400000000.0,21000000000.0,,107760000.0,0.0,0.0,0.0,,1500002760,,,31015228629,768565386822,42782586553,0.0,0.0,,-110860033553,50388101968,454905000.0,108997693345,53982799616,0.0,0.0,411645000.0,-20378635015,-19516061084,623703583862,604187522778
20180101,646677307033,791112221268,11766290224,1903403292,154297801167,-413917719397,17569000000.0,20101369863.0,1435365000,579033207.0,0.0,5977550749,1698472223,1056370318,2016000000.0,504000000.0,,107494108.0,15256413670.0,0.0,20000000000.0,,1500002760,,,4877583342,405477300427,51225489946,0.0,0.0,,-103444987469,24495222450,0.0,88311920935,39628288984,0.0,0.0,0.0,2008514996,131323115163,604187522778,735510637941
20190101,718300781333,857524382916,10135538607,18049090334,131310049856,-403233395816,,,31484000000,,,7616143350,27798931056,2517072752,,,,,5110503360.0,55439000000.0,136299644042.0,,1500002760,,,4137112924,246549723931,34863960005,29399632.0,,,-387437264460,12048075210,,81417037085,32682146763,185628639922.0,100007515900.0,,10439616452,-61930262491,735510637941,673580375450
