,영업활동현금흐름,영업에서 창출된 현금흐름,연결당기순이익,법인세비용,이자비용,외화환산손실,대손상각비(대손충당금환입),기타의대손상각비,감가상각비,무형자산상각비,유형자산처분손실,유형자산폐기손실,무형자산처분손실,유형자산손상차손,무형자산손상차손,재고자산폐기손실,당기손익-공정가치 측정 금융자산 평가손실,당기손익-공정가치 측정 금융자산 처분손실,지분법손익,관계기업투자주식손상차손,관계기업투자주식처분손실,퇴직급여,기타장기급여,이자수익,외화환산이익,배당금수익,당기손익-공정가치 측정 금융자산 평가이익,당기손익-공정가치 측정 금융자산 처분이익,관계기업투자주식처분이익,기타대손충당금 환입,유형자산처분이익,무형자산처분이익,기타영업외손익,매출채권의 감소(증가),기타수취채권의 감소(증가),금융리스채권의 감소(증가),기타유동자산의 감소(증가),재고자산의 감소(증가),기타비유동자산의 감소(증가),매입채무의 증가,기타유동금융부채의 감소,기타지급채무의 증가(감소),기타유동부채의 증가(감소),확정급여부채의 감소,장기종업원급여채무의 감소,기타지급채무(비유동)의 증가(감소),기타충당부채의 증가(감소),기타비유동부채의 증가(감소),이자의 수취,이자의 지급,배당금 수취,법인세의 납부,투자활동현금흐름,투자활동으로 인한 현금 유입액,단기금융상품의 감소,단기대여금의 감소,장기대여금의 감소,당기손익-공정가치 측정 금융자산의 처분,기타 상각후원가 측정 금융자산의 처분,관계기업투자주식의 처분,유형자산의 처분,무형자산의 처분,임차보증금의 감소,투자활동으로 인한 현금 유출액,단기금융상품의 증가,단기대여금의 증가,장기대여금의 증가,기타포괄손익-공정가치 측정 금융자산의 취득,당기손익-공정가치 측정 금융자산의 취득,기타 상각후원가 측정 금융자산의 취득,관계기업투자주식의 취득,유형자산의 취득,무형자산의 취득,투자부동산의 취득,임차보증금의 증가,재무활동현금흐름,재무활동으로 인한 현금 유입액,단기차입금의 차입,장기차입금의 증가,사채의 발행,종속기업의 주식발행,재무활동으로 인한 현금 유출액,단기차입금의 상환,사채의 상환,리스부채의 상환,배당금의 지급,자기주식의 취득,종속기업투자지분의 추가취득,현금및현금성자산의 증가(감소),기초의 현금및현금성자산,현금및현금성자산의 환율 변동 효과,기말의 현금및현금성자산
20100101,220502551539,267342033711,144261037213,50795387182,304064978,739344939,1950287670,0,17339495926,3813549023,47419011,0.0,0,,10964613009.0,234670751.0,0,30963635,,281409296,-10203250288,7992007796,,-21649228720,-2308608884,-63834933,0,7438746044,2141350000.0,12066958028.0,-68575531,2101290725.0,,9461940477,2943555070,,4005177524,592656152,-1524558683,0,,0,18382172865,-3773093163,4857638743,-498329997,36448379187.0,-9969072520,20462051445,53618420,60000000,67307915197,-252516189495,1248767762897,1200000000000,4625768098,,-1578951021,0,4878941880,40568710,0,517623871,1501283952392,1367590766798,7451299833.0,0,0.0,0,0,4441389,39971899100,16618857670,0.0,6356485238,-5168002450,5029259380,0,0.0,4441389.0,,10197261830,0.0,0.0,,9834117500,0.0,,-37181640406,95140096775,1494706912,59453163281
20110101,138554553124,177140885851,117676060139,39534784923,758197644,1124414682,244157176,-1915142610,21457312973,4025057205,69351369,0.0,0,,891666662.0,0.0,0,0,,25104536,0,10487215588,,-22863196494,-1593304617,-50000000,0,0,206890000.0,12331274183.0,-69351369,0.0,,32417311436,-9972492486,,5234788154,74521759,-1491169205,0,,809158717,21005596323,-6105499837,-3241049015,2193242893,-34442301773.0,9559683620,22650373389,744256591,50000000,60542449525,-127420319546,569949217882,515307519697,2618948576,,5268663671,67000000000,3671370725,151308164,8931620,706704953,697369537428,406128204950,5611077527.0,0,4986495000.0,0,-8069166580,0,190946907992,6454719099,20000000000.0,16220773677,-11650199769,74197399325,29168757,67000000000.0,13124339.0,,85847599094,-1915142610.0,3548961722.0,,11861028000,250046437.0,,-515966191,59453163281,216308845,59153505935
20120101,210641886701,230643032404,153666725549,29240348127,865713866,841969792,3865964007,-2530198500,28742011957,9606407640,814176075,28130390.0,36367953,,5804941426.0,5804941426.0,-1000000,0,,0,0,29604526765,,-18224752205,-994210518,-66000000,896853350,0,127815000.0,31120227357.0,-59228626,85833511838.0,,-28909583053,19597041927,,-6900539764,-989729792,533483327,-2879710253,,889787882,44346114781,-17217899804,-1590115804,1690333625,-224778344.0,-9518464153,24804630039,5231181354,66000000,39640594388,-146451178857,531935632438,423900000000,40570815286,,0,28742897807,106881000,483082159,810000000,10140911443,678386811295,302937058269,33776411102.0,847809895,13938409597.0,0,0,0,89812695413,4496912319,0.0,2833637052,5512609340,31341613137,0,28742897807.0,,,25829003797,-2530198500.0,,,11890594200,,,69703317184,59153505935,-5815986536,123040836583
20130101,236187663553,242144995478,158695768295,57526635203,322687089,694784936,2478856221,0,28935039302,6472799122,519636686,1278085250.0,0,,15626056210.0,15626056210.0,0,0,,0,0,15750016841,,-16705523539,-642523947,-60000000,0,0,-620830650.0,-6366957171.0,-56684881,0.0,,-8971210169,-183944363,,-1892969996,1016471311,204058845,1435167979,,323110246,-11092258207,-5910867569,7792728300,-3948791024,-2001312000.0,7463948008,17327442186,713249882,3098783927,25670308156,-213641450733,521695438733,378901100000,1669451085,,0,-152530902,0,374748176,14434199,5256367873,735336889466,445280945030,866958957.0,0,0.0,0,0,6663989547,101598477058,1028162147,0.0,1190284718,-17410485643,1390485957,0,518682867.0,0.0,,18800971600,-3357226550.0,,,11956971600,0.0,,5135727177,123040836583,-4845802511,123330761249
20140101,263580917054,315144928207,227519296162,61489783175,28593441,910403451,2527365171,0,30246275244,6486626551,312851400,256711176.0,52787523,,13198658459.0,13198658459.0,0,0,,5543900638,0,15256593461,,-17401454621,-6141097371,-342824013,2324247337,484442762,0.0,0.0,-228148884,0.0,,-10906641269,-271772940,,-9022316655,219724833,25212358,1175038351,,5839583500,3714168735,-7994304180,-96202449,2499486024,-510000.0,-6400889319,16970749053,1359298509,1975176844,69150638541,-175532314642,139363571684,77411278780,923444232,,-128662273,0,0,715796020,179243199,2692632361,314895886326,196505584298,13484481.0,82089494,0.0,0,741769,9793350379,19482761231,1750903763,10750000.0,1804052174,-12294124210,3095337990,1693851000,,0.0,,15389462200,0.0,,,11966497200,0.0,,75754478202,123330761249,3671297515,202756536966
20150101,241337233887,296196615743,166350442469,73159319384,32179145,1119237087,1021059109,773399925,28473624130,6501614087,634314771,0.0,1669910,,28839771628.0,28839771628.0,25148456,-3789767376,,0,0,16713849313,,-20405823054,-10109156757,-355522477,0,0,-1605201440.0,0.0,-226698170,-3789767376.0,,1032365913,-358584645,,-10845659727,53167973,-42738933,2274546984,,1745864544,21085554389,-7452183388,281336108,3292906707,-486000.0,-4897893725,14738101977,30933495,1332163579,70898713917,-516851616964,758138727190,500400591848,486376895,,0,0,0,1485288678,1971029061,3093689609,1274990344154,307254733760,438123484.0,0,10000000000.0,8580660,29222419,8579934793,17672698626,1158700091,0.0,2069503956,310187228284,391117350000,391117350000,,101550949.0,,80930121716,-5022485.0,,,68642752726,11911036250.0,,34672845207,202756536966,10663004328,248092386501
20160101,112022508831,231723144723,271381872090,74691206113,2978607596,1593760711,4650426171,0,26500237520,5905031121,243522959,91504.0,154608535,,7654341179.0,7654341179.0,0,0,,428118925,30921614,18618013046,,-21559269948,-8366627921,-504539637,0,0,-8858923805.0,1100000000.0,-133265972,,,-70831190179,-1423576279,,-10122172174,18114583,-2891419644,-4980254766,,-8294547344,-7017723676,-67379712298,-170542035,-2590897129,-487398762.0,21731711419,18799085986,2993463403,330844348,135837102823,-138664241049,1301638220917,344857480308,207608498,,0,40000000000,8800410811,1865211338,971974325,918156714,1440302461966,178828826839,209248836.0,0,0.0,0,0,53199920308,16632221106,2894514142,0.0,3563534856,-73824158788,155469065285,0,,1038301843.0,,229293224073,-139883744.0,,,60064360933,143578363140.0,,-100465891006,248092386501,-2797165856,144829329639
20170101,595173210397,640081566975,444043111896,166199699332,3257503570,7014793359,1496504052,33431960,26861784780,3138863869,46785337,2000.0,0,,,1403174706.0,0,0,,0,765065485,19400592895,,-19007194945,-690898305,-2087178127,0,0,-1619174103.0,0.0,-310515079,,,-41580394725,-198712149,,15247563625,121413802,0,-4136841207,,103446122,-21681056,-37440316644,2159725726,-632246853,-771000.0,79271984328,19978170141,4136370974,2087178127,62837333872,-459622828394,1866600420467,314414918057,537453605,,0,0,1000060952,614001825,0,2528459520,2326223248861,245351311360,3523244914.0,2000,0.0,0,0,3001875000,28798319400,3745455432,1057000000.0,3108735958,-79738476980,1400000000,0,,0.0,,81138476980,0.0,,,81138476980,0.0,,55811905023,144829329639,-13385422215,187255812447
20180101,352800469174,598530170737,421467650710,215882267950,3330175649,758950953,964851916,2650949083,25500022690,2410349824,76867390,,58514779,,,,12859241585,8481274690,,593236294,200635142,20009552415,,-29345416633,-12292122285,-12111980194,-4081172615,-4690266308,-4912579401.0,,-335975543,,,45295421384,-4561901272,,-893652958,-481402064,-7000000000,-646221289,,-2487611155,-62938503792,-21693342020,73556646,11033429906,,-13380768947,27607647817,4631837879,12111980194,280817491695,68346555573,2904025657314,65504662667,1123987668,,2668130270137,160000390000,6225736416,1022786239,588088884,1109735303,2835679101741,230497500000,4200000000.0,0,1072194800.0,2414440783706,120067280000,29622193958,26731325035,4660640576,9000000.0,4378183666,-424352685830,4980400000,4980400000,4980400000.0,,,429333085830,,,,154703195920,274629889910.0,,-3205661083,187255812447,1542731363,185592882727
20190101,392249235729,488771424868,359154722508,136998851991,8419063264,1796432472,1946782552,3300000000,51231173366,1243949001,389343021,,114761135,,6233631086.0,,13917860453,9143224884,4564546900.0,13497140176,1227076963,23834928966,,-33579778274,-7373874830,-3670268676,-26121388007,-6291758339,,,-394286326,,,-106122724064,1648172363,,-11971581807,-1062230968,-10714010000,2763417286,,19550268736,65282179368,-32261284938,689538142,1847939766,,-460984875,37261442977,7164812755,3770848676,130389668037,-234237265934,2901239619867,365633500000,441437554,,2370592575860,150000000000,800003900,837566273,525745454,11461595562,3135476885801,809651000000,,4500000000,,2093943771783,161041130000,9999990000,51028274092,3292013125,,2020706801,-45695505083,265165810000,13903760000,13903760000.0,249162050000.0,,310861315083,7877014800.0,150000000000.0,19602074835.0,124584255950,,,112316464712,185592882727,5533929349,303443276788
