,영업활동현금흐름,당기순이익(손실),조정,영업활동으로인한자산ㆍ부채의변동,이자수취(영업),이자지급(영업),배당금수취(영업),법인세납부,투자활동현금흐름,단기금융상품의 순증감,장기금융상품의 처분,당기손익-공정가치금융자산의 처분,공정가치-기타포괄손익금융자산의 처분,대여금의 회수,보증금의 감소,예치금의 감소,유형자산의 처분,무형자산의 처분,정부보조금의 수령,사업의 지배력 획득에 따른 현금흐름,당기손익-공정가치금융자산의 취득,장기금융상품의 취득,기타포괄손익-공정가치금융자산의 취득,대여금의 증가,보증금의 증가,예치금의 증가,무형자산의 취득,유형자산의 취득,사용권자산의 취득,관계기업투자주식의 취득,관계기업투자주식 취득 관련 선급금의 증가,재무활동현금흐름,유상증자,차입금의 증가,사채의 증가,종속기업의 취득,차입금의 상환,유동성사채의 상환,배당금지급,리스부채의 지급,자기주식의 취득,현금의 증가,기초현금및현금성자산,현금및현금성자산에 대한 환율변동효과,기말현금및현금성자산
20100101,55327937345,56938580647,29118490911,-24394721734,3142590738,74068149,17500000.0,9420435068,-61608378277,45000000000,,,,4808612044.0,513000000.0,,95119524,1313895548.0,274648618.0,,,,,,963000000.0,,1828038348,27651086054,,,,2611343725,,4741593725.0,,,,,4430250000,,,-3669097207,43986686684,,40317589477
20110101,89699240616,91378184011,42688113781,-29325405510,4066103263,504617187,,18603137742,-72508485760,151000000000,,,,541162919.0,343000000.0,,402013176,427084713.0,741432768.0,,,,,,537000000.0,,2203639279,37639991483,,,,-549998725,,4137001275.0,,,,,5907000000,,,16640756131,40317589477,-32985567.0,56925360041
20120101,65040250951,75354775272,38132289174,-22993331532,5039151769,619799386,2968000.0,29875802346,-49046320725,135050000000,,,,1726694895.0,990150680.0,,293769323,,1230559851.0,,,50000000.0,,,709262310.0,,1668982045,36201012152,,,,-2554879500,,,50000000.0,,365465000.0,,5907000000,,,13439050726,56925360041,-97041949.0,70267368818
20130101,110523431325,58029930105,40037720933,29448619068,3338802203,98971094,,20232669890,-123632477339,87705698368,1500000.0,,,515224090.0,1250103150.0,31531707.0,389129525,,776268022.0,,,,,,817232940.0,192700000.0,901716750,61564508378,,,,28856589301,,39046100000.0,,,297840000.0,,8860500000,,,15747543287,70267368818,-255086335.0,85759825770
20140101,50171623266,73290205193,45712514623,-50842560805,2732615462,2445423298,4823000.0,18280550909,-90215911574,89341215759,,,,43358255.0,511779220.0,119657296.0,214037792,,143078308.0,,,412725532.0,,,780570073.0,119000000.0,973377638,45881135169,,,,12266188844,,12799256050.0,,,380979206.0,,8860500000,,,-27778099464,85759825770,231853411.0,58213579717
20150101,61639938982,32168380149,48115072399,-3498290587,3637364797,2339062961,7420000.0,16450944815,58576922582,122845323086,,,,68749998.0,869510760.0,184573938.0,1225516178,119818183.0,328948379.0,,,1330193086.0,,,21145634.0,123200000.0,640034500,28595733573,,,,-17268279987,,,,,7969442606.0,,10337250000,,,102948581577,58213579717,1420227.0,161163581521
20160101,85065118800,44528772820,73153114410,-13017291201,2603840725,1956185693,3710000.0,20250842261,-106339598040,-86045093305,1900000.0,,,,384567111.0,,506203930,317700000.0,,,,,,,71393560.0,106560497.0,201312000,23273908415,,,,-22254098180,,,,,7246681654.0,,11814000000,,3193416526.0,-43528577420,161163581521,199505149.0,117834509250
20170101,55515266191,103959563440,24050556172,-47730384836,3225995794,1517621821,17654000.0,26490496558,-46243737085,10376332330,,,,206250010.0,2230155919.0,429245909.0,1726296930,,18881329.0,,,,,,2229475121.0,333194225.0,1291216197,59381916357,,,,-23042600008,,,,,5321600008.0,,17721000000,,,-13771070902,117834509250,10202060.0,104073640408
20180101,84560079551,132752043977,9355319711,-37126853792,3015471598,1549350148,28630000.0,21915181795,-38683367109,63705582665,1055539653.0,,,,,288279252.0,185848195,909090909.0,,,,,,,193278271.0,263167075.0,3836896001,100857346436,,,,-29431881318,,,,,8672952918.0,,20758928400,,,16444831124,104073640408,-41256733.0,120477214799
20190101,62778335158,101163401402,70889210133,-100920215371,1294096510,3152179009,16750543510.0,23246522017,-464694303926,7958825646,387599919.0,528875380.0,,312133445.0,254845789.0,281890761.0,459448231,119283187.0,,,173330361303.0,,278640000.0,4230000000.0,573100770.0,534781490.0,2764274579,308716976162,,,,318201790346,,236300000000.0,250000000000.0,,127868850000.0,,23746410000,16432949654.0,,-83714178422,120477214799,-16355376.0,36746681001
