,영업활동현금흐름,영업에서 창출된 현금흐름,당기순이익,조정,영업활동 관련 자산ㆍ부채의변동,이자의 수취,이자의 지급,법인세 부담액,투자활동현금흐름,단기금융상품의 순증감,당기손익-공정가치 측정 금융상품의 취득,당기손익-공정가치 측정 금융상품의 처분,기타금융자산의 증가,기타금융자산의 감소,관계기업투자주식의 취득,유형자산의 취득,유형자산의 처분,매각예정비유동자산의 처분,무형자산의 취득,무형자산의 처분,정부보조금의 수취,재무활동현금흐름,단기차입금의 차입,단기차입금의 상환,장기차입금의 차입,유동성장기차입금의 상환,사채의 발행,사채의 상환,배당금의 지급,리스부채의 상환,현금및현금성자산의 증감,외화표시 현금및현금성자산의 환율변동효과,기초의 현금및현금성자산,기말의 현금및현금성자산
20100101,-48703000000,,85927000000,109743000000,-223850000000,1740000000,16708000000,5555000000,-129447000000,-2420000000,,,868000000.0,256000000,,31996000000,48000000,,94477000000,0.0,22337000000.0,195316000000,236317000000,105076000000.0,113449000000.0,,,,14711000000.0,,112000000,,26610000000,43888000000
20110101,-127986000000,,73230000000,99258000000,-252283000000,3630000000,16479000000,35342000000,-102514000000,6133000000,,,1433000000.0,1941000000,,39522000000,51000000,,70397000000,18000000.0,25815000000.0,252205000000,137912000000,282422000000.0,96114000000.0,,,,9563000000.0,,358000000,358000000.0,43888000000,65951000000
20120101,448339000000,,74029000000,137289000000,288001000000,1356000000,18645000000,33691000000,-105441000000,-1309000000,,,430000000.0,694000000,,63559000000,198000000,,41196000000,130000000.0,8736000000.0,-185613000000,317317000000,546320000000.0,54146000000.0,,,,19492000000.0,,167000000,167000000.0,65951000000,223403000000
20130101,201500000000,,36545000000,183235000000,-3281000000,3435000000,12355000000,6079000000,-240516000000,-38576000000,,,1951000000.0,1680000000,,141663000000,633000000,,60652000000,1000000.0,,-46975000000,417448000000,475202000000.0,17847000000.0,,,,19494000000.0,,119000000,119000000.0,223403000000,137531000000
20140101,-113483000000,,132380000000,179449000000,-394139000000,3311000000,9818000000,24666000000,-79905000000,31226000000,,,6079000000.0,725000000,37000000.0,51461000000,6000000,,54457000000,72000000.0,,68456000000,355000000000,393486000000.0,24995000000.0,,199482000000.0,100000000000.0,19495000000.0,,-29000000,,137531000000,12570000000
20150101,59851879411,,259193263514,300751111580,-428724187493,182668859,12713112123,58837864926,-123234727407,-5445711628,,,2257310672.0,2242935703,1800000000.0,65276888068,17619310,,73771020926,,14990225618.0,61340749577,452893000000,456162590000.0,88978703927.0,,,,24368364350.0,,202518914,202518914.0,12570473281,10730893776
20160101,145284892780,234917187271.0,264801087714,270808099073,-300691999516,810704433,12836123882,77606875042,-158725485742,-1289306377,,,2014589037.0,3803320619,,81874014053,860549091,,100587132996,497272727.0,21971011054.0,56121380081,477078920000,620120337119.0,38700000000.0,,199452600000.0,,38989802800.0,,42848000698,167213579.0,10730893776,53578894474
20170101,104641673897,,-235185852776,396106964608,22731306724,1220621536,26498658637,53732707558,-215832179352,-9835045413,,,,375230626,,78906532859,50711780,,195396338417,,51557829105.0,286777605240,353510110000,,,,199550160000.0,200000000000.0,66282664760.0,,-2065534587,-2065534587.0,53578894474,227100459672
20180101,137662903329,,55539464108,290766762960,-168551270352,2382800298,14129399638,28345454047,-88239387102,89733135135,5668230000.0,,592335945.0,3836639308,,51438262921,207769733,,23038148435,,77798458564.0,-134556172508,462725000000,755725000000.0,72147961492.0,17372270000.0,59864360000.0,,,,-83268489356,1864166925.0,227100459672,143831970316
20190101,354538677109,432718024013.0,168292166221,317820331669,-53394473877,2623252283,15604773051,65786026136,-386555656714,25716310557,8408380000.0,406151579.0,10830713029.0,110394848,,187260577635,1587222467,,195675751662,,48700965611.0,-44193707721,992674765000,882233945000.0,14735939000.0,16957090000.0,69859480000.0,200000000000.0,19495021400.0,2777835321.0,-76210687326,1779229316.0,143831970316,69400512306
20200101,732407852813,718501101436.0,72313949881,372412450578,273774700977,4116684716,19787379272,-29577445933,-353336704630,-103138221784,15254240000.0,99299808.0,10382166576.0,3159367184,332500000.0,252953936508,33037151,,208772225934,282036363.0,27646402098.0,216496622776,1380500000000,1403184818183.0,43935981000.0,58703882000.0,498733160000.0,202306000000.0,38990042800.0,3487775241.0,595567770959,-3080722477.0,69400512306,661887560788
20210101,439964696155,495035776283.0,53272528569,262957079717,178806167997,2850533434,18749368146,39172245416,-415973361616,90982596380,75671930000.0,109504510.0,7515779131.0,8135824754,12328394960.0,83927504236,143410670,,185310685384,1314000.0,31373474541.0,200668206020,101000000000,350000000000.0,53670520000.0,20537929000.0,501094766434.0,60266720000.0,19495021400.0,4797410014.0,224659540559,39620935.0,661887560788,886586722282
20220101,1492635299719,1519150180585.0,115919395720,175662668789,1227568116076,14437910387,23499670614,17453120639,-204068797101,32553427390,231331711411.0,283420858318.0,8961539308.0,2618780936,2760000000.0,68990966590,145469900,10408000000.0,160694201448,,4629939892.0,-102841514518,10000000000,,,18036662000.0,44400537.0,70719203149.0,19495021400.0,4635028506.0,1185724988100,-48595608251.0,886586722282,2023716102131
