,영업활동으로 인한 현금흐름,영업활동에서 창출된 현금,금융업 이자 및 배당금 수취,금융업 이자지급,법인세 납부,투자활동현금흐름,이자 수취,배당금 수취,기타포괄손익-공정가치측정 금융자산의 처분,기타금융자산의 감소,관계기업등투자자산의 처분,종속회사의 처분,정부보조금의 수령,투자부동산의 처분,유형자산의 처분,무형자산의 처분,사용권자산의 처분,매각예정자산의 처분,기타금융자산의 증가,관계기업등투자자산의 취득,투자부동산의 취득,유형자산의 취득,무형자산의 취득,사용권자산의 취득,종속회사의 취득,연결범위 변동으로 인한 현금유출,사업 양수에 때른 현금유출,기타채권의 회수(투자활동),기타채무의 지급(투자활동),재무활동으로 인한 현금흐름,차입금의 차입,기타금융부채의 증가,유상증자,비지배지분의 증감,차입금의 상환,기타금융부채의 감소,이자 지급,배당금 지급,리스료 지급,자기주식의 취득,현금및현금성자산의 순증감,기초 현금및현금성자산,환율변동효과,기말의 현금및현금성자산,기말 재무상태표상 현금및현금성자산
20100101,679026854746,794378485923,,,115351631177,-1231163449470,7318591904,34129633100,,,,-134972307433.0,27556000.0,,,,,,,47497996943,23389895664,,,,,,,,,742992890331,,,,,,,137950842492,69061678450.0,,,190856295607,212882002060,54571494860,458309792527,
20110101,799227483406,953564404417,,,154336921011,-663835843545,6145601692,160505353580,,,,-17269959.0,23948977000.0,290749543363.0,155710980642.0,4407267743.0,,,,94367765671,9909604028,982189356263.0,42362779009.0,,,,,,,293383687811,2987125269284.0,908400000.0,,,2441916080480.0,14542717217.0,153300964526,84180049250.0,,,428775327672,458309792527,-38361921591,848723198608,
20120101,279345953796,384744160484,,,105398206688,-698239014560,14278226912,158760256659,,449510274297.0,,-16791196721.0,,,47028888993.0,3338901666.0,,,345764227780.0,44791030984,13308720,871906073539.0,5731587307.0,,76926121300.0,,,,,178886667950,6004911530246.0,5807150420.0,,,5543983353567.0,7444632725.0,226398142974,64852883450.0,,,-240006392814,848723198608,-14401893454,594314912340,
20130101,404339711085,463096438373,,,58756727288,-259937493068,13516530324,90123603505,,421026788202.0,,8869207900.0,199618186.0,125744282294.0,65175021606.0,14093806282.0,,,428396118983.0,12661182843,262074072,671911978818.0,4500195534.0,,,,,,,190137132340,2660547074108.0,14149159297.0,,7340163458.0,2211292090451.0,23125527973.0,222073647249,35407998850.0,,,334539350357,594314912340,-8372416815,920481845882,
20140101,362468394856,440410594734,,,77942199878,-285040033240,13983916412,69169035428,,489894738623.0,180000000.0,303035998486.0,47144400.0,439805565.0,8571971412.0,1037821258.0,,,631173422115.0,68674357654,3781683,465697861075.0,8544782007.0,,-319670322.0,,,,,-451709091322,1397124251161.0,335900000.0,341121065322.0,16858886907.0,1951963850991.0,2367942816.0,231550126855,21267274050.0,,,-374280729706,920481845882,3192066165,549393182341,549393182341.0
20150101,1209290994751,1293680588048,,,84389593297,-952561699720,34150209453,68380471751,,91950453370.0,4770000000.0,35600000000.0,100000000.0,224458000.0,97152288767.0,2363836852.0,,,249896288361.0,257077519486,17868885,759237070804.0,7469152296.0,,13579633997.0,,,,,-154043432738,2208663050782.0,306820373.0,,18982020513.0,2164230154589.0,8375891101.0,184873595666,24515683050.0,,,102685862293,549393182341,-7293323584,644785721050,
20160101,1151003611390,1189190757508,,,38187146118,-460096345420,23385620166,140798394647,,553402962009.0,45717452524.0,-1814556457.0,,4388569257.0,201344828822.0,3228583405.0,,,441286102879.0,252578062046,3627086716,614754964764.0,16471665694.0,,102092410386.0,,,,,-318230949434,2063542394626.0,548025648.0,-242309890.0,-29074925235.0,2143944721244.0,154846779.0,184388883510,24515683050.0,,,372676316536,644785721050,-5148644786,1012313392800,1012313392800.0
20170101,916231863267,1068111015187,,,151879151920,-403184977798,24579651575,208245064975,,433109787470.0,2272494915.0,,1600000.0,1925905641.0,24380712404.0,28086424542.0,,80138574000.0,531577263313.0,177203417254,40541163,492370108930.0,12069637291.0,,892090930.0,,,,,-685640548345,1795980797510.0,42000000.0,,-10853327679.0,2249383916904.0,185985078.0,163701983494,57538132700.0,,,-172593662876,1012313392800,-34736648604,804983081320,804983081320.0
20180101,726704240219,811318064126,,,84613823907,-434644603166,34683068778,447207234133,10146897608.0,1496445022540.0,,17769342585.0,66000000.0,4200000000.0,56019821618.0,20165845439.0,,1482819883.0,1503199681298.0,26366953765,328629740,720057804179.0,19475689881.0,,360746050837.0,,,110344157950.0,,-69585025098,2098367020889.0,25000000.0,,-3458105739.0,1923943863446.0,206903693.0,182830040409,57538132700.0,,,222474611955,804983081320,-3336257261,1024121436014,1024121436014.0
20190101,1206117680069,1415699225492,,,209581545423,-1110655156763,35861906234,89546657307,70360000.0,541604943541.0,,3203731619.0,159635694.0,38786383530.0,27385447893.0,8544728999.0,2558502469.0,18244879723.0,630935085288.0,26965943072,5398860,1165343863539.0,9177286751.0,535094206.0,22594290086.0,5142168555.0,18207835573.0,15733761781.0,13449129623.0,-42617412734,3264106017361.0,2030000000.0,,-85085916058.0,2883316793694.0,4431750000.0,228797046672,32903013050.0,37061211051.0,37157699570.0,52845110572,1024121436014,7549769388,1084516315974,1084516315974.0
20200101,1069541687095,1141661090979,,,72119403884,-42736555229,35600394355,176077517666,980000.0,976303390817.0,23390558270.0,2493116874.0,128093170.0,16006916960.0,18729394543.0,16118356750.0,,398834536000.0,711043294095.0,54155760535,3530862,883786181487.0,8247915888.0,,45910717450.0,3272410317.0,,,,-886838009345,3506554272128.0,4054009725.0,,-19701208376.0,4077517293961.0,2011400000.0,176264881804,32576792250.0,60376968987.0,28997745820.0,139967122521,1084516315974,-24646647615,1199836790880,1199836790880.0
20210101,990890683781,1364853760279,15892837896.0,5481251038.0,384374663356,-1654951903656,23527623159,208983503741,3563192811.0,121147732666.0,214760174315.0,1041570.0,747139930.0,357736000.0,33113460530.0,4494145277.0,,653453881020.0,328144095990.0,607106848899,11476572121,812670935548.0,10012991694.0,,1149690090423.0,,,,,1076304548602,4055427094863.0,1420525536.0,1338667430096.0,,4126608372104.0,5578411902.0,87899494339,,85351934788.0,13772288760.0,412243328727,1199836790880,39450178624,1651530298231,1651530298231.0
