,영업활동현금흐름,영업으로부터 창출된 현금흐름,이자수취(영업),이자지급(영업),법인세납부(환급),투자활동현금흐름,단기금융상품의 처분,장기금융상품의 처분,대여금의 감소,보증금의 감소,당기손익-공정가치 측정 금융자산의 처분,종속기업투자의 처분,사업부문자산 등의 처분,유형자산의 처분,무형자산의 처분,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,파생상품의 감소,배당금수취,단기금융상품의 취득,장기금융상품의 취득,당기손익-공정가치 측정 금융자산의 취득,기타포괄손익-공정가치 금융자산의 취득,기타비유동자산의 증감,파생상품의 증가,유형자산의 취득,무형자산의 취득,대여금의 증가,보증금의 증가,관계기업투자의 취득,영업양수도로 인한 현금유출입,사업결합으로 인한 현금유출입,재무활동현금흐름,단기차입금의 증가,장기차입금의 증가,사채의 증가,유동성차입금(Nego)의 순증감,단기차입금의 상환,장기차입금의 상환,유동성차입금(기타)의 상환,사채의 상환,리스부채의 상환,자기주식의 취득,배당금지급,비지배지분의 변동,환율변동효과 반영전 현금및현금성자산의 순증가(감소),기초현금및현금성자산,현금및현금성자산에 대한 환율변동효과,매각예정자산집단에 포함된 현금성자산,기말현금및현금성자산
20090101,213420795021,,8648115042,27916126063,8400846881,-45651420842,,,118713289,15951985771,,,,6595352624,102341818.0,,,1890955499,,,,3944274850,3944274850,,130585595964,24715429334,478235210,17641362698,,,,79710510529,6392950000.0,399362700000.0,2973000000.0,,,,188149638024,,,2497502200.0,30686875200.0,,247479884708,188541721602,-3504639901,,273182698040
20100101,128599562866,,3137624814,27485604847,37193452395,-512980645255,,,226945512,6781338759,,,,7662915614,,,,17170835583,,,,2689532105,2689532105,,170590990072,10565526815,640224115,6366403561,,,,223440888062,111162832024.0,200574600000.0,200574600000.0,52229102964.0,1526000000.0,,102451110000,,,,37229961418.0,,-160940194327,273182698040,-439364891,,111803138822
20110101,65216098629,,2151168614,33053614593,35018132756,57998652732,,,378101131,8408505289,,,,8555709344,,,,8591770355,,,,3170637250,3170637250,,56614582773,3110844346,12916431770,9285840985,,,,-48245967701,420561000.0,81916970000.0,150000000000.0,,,,203737167154,,,,43169188537.0,,74968783660,111803138822,1075679077,,187847601559
20120101,146832705792,,7608381748,34319273317,18989368588,-61244470400,,,513255765,5795239353,,,,5125429635,1000000000.0,,,7719127183,,,,7805661736,7805661736,,45843311819,1948221223,7828083595,12010111342,,,,-29243335177,321200000.0,,199260600000.0,32127531534.0,22750000000.0,,210832969026,,,,27433843725.0,,56344900215,187847601559,-5157244723,,239035257051
20130101,219329586983,,6651061266,25804225564,17678602151,-38088375557,,,419635959,7661606721,,,,6409689993,512490386.0,,,8724356878,,,,11581280142,11581280142,,46917877654,2346359821,697499415,9288371223,,,,-143159743518,,8581157000.0,149430864909.0,9661009732.0,,,83317812985,200000000000.0,,,27548221160.0,,38081467908,239035257051,-1249237882,,275867487077
20140101,11388469924,46600768662.0,6208825496,20203626336,21217497898,-102932796792,,,4320377892,7921779248,,,118858000000.0,1360441241,1167043357.0,,,9276328088,,,,3193329239,3193329239,,113670518111,20771440784,2455139527,7623147646,,,,-89659465478,141257945128.0,251000000.0,,18866852317.0,70000000000.0,,3104630000,150000000000.0,,,27016765167.0,,-181203792346,275867487077,-395801675,,94267893056
20150101,-37529636420,-11854127388.0,3409345682,16627575413,12457279301,177644791173,,,19655277036,9576567993,,,,4491661538,3891636364.0,,,22399886428,,,,1474179053,1474179053,,41882538440,22818154541,401762585,8399995454,66132982.0,,,-91762147522,206515860394.0,54383000000.0,99568700000.0,-90303834380.0,150000000000.0,,11319400000,200000000000.0,,,606473536.0,,48353007231,94267893056,78503002,,142699403289
20160101,196055181841,262094911942.0,8434256564,15726438982,58747547683,-718306035536,,,1476271917,5800540801,10615272537.0,,30000000000.0,1205338604,1554636363.0,52220417532.0,,10600378329,,1000000000.0,,36983232568,36983232568,7177300000.0,89134253239,69490990406,437127646,3611902255,892092262081.0,,,637944435466,465427616990.0,382235278000.0,318841700000.0,11338615649.0,371579195173.0,,2380580000,150000000000.0,,,15939000000.0,,115693581771,142699403289,-974589262,,257418395798
20170101,-9741475193,90527735891.0,4463665913,31658414314,73074462683,72610488087,,,5987367613,8987222626,334899352232.0,,1287850461.0,1577365351,116360000.0,,,8261359986,,3889786842.0,,18776035777,18776035777,,141621843109,82019639604,5247036019,9227672497,9563648442.0,,,140433513944,1183869080000.0,166169070738.0,29906420000.0,17945816469.0,1198999920000.0,,32850220000,,,25035168520.0,,-571564743.0,203302526838,257418395798,658918865,,461379841501
20180101,56342753665,208363476974.0,8628263681,42178151615,118470835375,-213054319965,,,12435444617,6375319630,,15172720.0,236134154909.0,1406385329,117876400.0,62787258098.0,,4239988873,15541708176.0,1497686883.0,1029895000.0,39153449457,39153449457,,172482612299,107695168641,1765505211,6331457880,4011264051.0,,42970048267.0,332716668877,765658600000.0,255265358537.0,243336090000.0,-65169032997.0,735305000000.0,,114409438000,,,16219102940.0,494952423.0,54146700.0,176005102577,461379841501,-662969189,,636721974889
