,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,당기순이익,조정,영업활동으로 인한 자산ㆍ부채의 변동,이자의 수취,이자의 지급,배당금의 수취,법인세의 납부,투자활동으로 인한 현금흐름,기타유동금융자산의 감소(증가),기타비유동금융자산의 증가,기타수취채권의 증가,기타비유동수취채권의 증가,관계기업투자주식의 취득,관계기업투자주식의 처분,연결범위의 변동,유형자산의 취득,매각예정비유동자산의 처분,유형자산의 처분,무형자산의 처분,무형자산의 취득,정부보조금의 수령,재무활동으로 인한 현금흐름,리스부채의 상환,기타비유동금융부채의 감소,유동성장기미지급금의 상환,단기차입금의 순증가(감소),유동성장기차입금의 감소,장기차입금의 증가,연결자본거래로 인한 현금유입,배당금의 지급,회사채의 발행,현금및현금성자산의 증가,현금및현금성자산의 환율변동효과,기초의 현금및현금성자산,기말의 현금및현금성자산
20100101,-106131407149,,279225130246,92770576392,-437521594955,7213225782,7047497800,7179148106,47950394920,-162603712330,-2111177682,,,846652047,,,,155295207975,,102533870,,4453208496,,,,-841908501.0,,411748638638,-47392618,13787826719,,23321592163,,129353437660,-4600885189,335224883944,459977436415
20110101,274407004014,,358806765079,161043476456,-187988904835,10871074708,7530205978,13693205250,74488406666,-267833534290,-1103136217,,,983821704,686000000.0,,,262477624912,,5690914782,,7883871239,,170933406483.0,,-437441948.0,,53639491139,-19012075,144000321527,,26250000000,,177506876207,-1364811440,459977436415,636119501182
20120101,345773546190,,497669166116,194120119919,-214783818006,14456974482,10440337671,13857278500,149105837150,-268761760605,128528292,,,1030403014,,,,240517550267,,3796068040,16633094.0,7668609983,,29763066558.0,,-146807156.0,,40421798989,-38428491,45741220603,,56250000000,,106774852143,-11004258325,636119501182,731890095000
20130101,407286203488,,481280885266,260474375689,-169759142916,14690556234,11553430006,11537508950,179384549729,-642577628815,10136875274,,,3606024425,21770765217.0,,,625988557219,,6450552125,,7799709353,,238239722809.0,,-895498258.0,,-21387299263,428107054,316309163276,,56250000000,,2948297482,-5521394008,731890095000,729316998474
20140101,369608557508,,536239893955,202177157182,-169991553227,15179390099,25662025692,11132668546,199466973355,-481218030095,-31686510119,,,-757941944,20094049633.0,837850959.0,,452194494890,,27909541284,2284733070.0,9033042710,,150630487066.0,,639131020.0,6472730785.0,11475714944,669783518,200568588369,,56250000000,,39021014479,-14421195024,729316998474,753916817929
20150101,783091780729,,376786373554,485640912619,73076264719,13792006470,50167888700,19374343759,135410231692,-847826060938,-385325125536,,,-1040625893,20087747009.0,1818645955.0,,395875964572,,4118694192,,6979267368,,-3731868457.0,,-924826012.0,21145262064.0,61580422199,337297330,31420500090,,75000000000,,-68466148666,-9309592008,753916817929,676141077255
20160101,606297462134,,505707468911,399192381152,-31856955467,17726281687,57873415471,17028278300,243626576978,-517510290527,-108657416761,,,6654483635,,2587955977.0,,389139401139,,5111049577,,6125019943,30000000.0,-185211807058.0,,-178806300.0,30813970706.0,-129262054180,-164755693835,252268717963,,112500000000,,-96424635451,15476286858,676141077255,595192728662
20170101,606533432762,,680453843815,230925263526,-125182331730,18496999066,62592492018,19653637446,155221487343,-344905927399,5834278924,,,2979835339,1339680000.0,2724847978.0,,367476861968,,11312998802,,5458919483,,-297739810267.0,,,30356033558.0,-157313081065,-193884519644,196313824000,,112500000000,,-36112304904,-29793197235,595192728662,529287226523
20180101,489663970954,,437373374120,449467002966,-165386881785,17876055801,76317330657,18925501940,192273751431,-389512510487,-198090946437,,,2307398722,,2869430974.0,,181226739520,,11413913505,205756.0,14659591351,,7594489467.0,,,31609001610.0,248256423576,-229968982034,133416049535,,112500000000,,107745949934,4317201671,529287226523,641350378128
20190101,740967235416,,502322713669,688414412727,-218139935199,27416372897,101582786253,20084740658,177548283083,-342642460444,-161627129205,,,-2920700107,4580856725.0,2253578982.0,,196650987475,,14313077196,5201930008.0,5265247657,,-364105648078.0,133129048044.0,,170169126344.0,111929589592,-233587578045,184600514763,,123750000000,,34219126894,14220577591,641350378128,689790082613
20200101,976882809694,1214562718011.0,606142677103,520452932182,87967108726,31392851321,84067291936,19474942409,204480410111,-198426187320,-68959172591,,,13693040081,4789260885.0,4668852301.0,1366572231.0,123409773989,,10728088498,6190492579.0,7795800921,,-31497813864.0,196800784172.0,,184615021378.0,202125686790,-214465991263,194610336159,,131250000000,298897960000.0,746958808510,-35602246826,689790082613,1401146644297
20210101,1105514871574,1182510906144.0,783175862240,766719618707,-367384574803,19510262612,69556191179,20317588516,47267694519,-349355289356,71607424136,,,485055829,110406664378.0,5972074860.0,,307966747066,,1820919972,,11067241051,1170000000.0,-561828827212.0,234156632044.0,,22968073897.0,-234517702993,-127120745768,164194038528,23990288962.0,131250000000,,194330755006,49848773599,1401146644297,1645326172902
20220101,1558795160495,1802465103288.0,1192805576043,1333788628873,-724129101628,41132560786,104578923374,13891577207,194115157412,-526556385572,-165639326572,4599033022.0,2396113052.0,2417838783,44893605286.0,6023720650.0,5135802882.0,340509375968,31921198473.0,2472201151,209006000.0,3625951739,2034535458.0,-438009242848.0,262105676296.0,2946716079.0,28850586838.0,112092746886,-229195010020,114876150599,619848900.0,142500000000,,594229532075,-179772484445,1645326172902,2059783220532
