,영업활동현금흐름,영업에서 창출된 현금흐름,이자의 수취,이자의 지급,배당금의 수취,법인세의 납부,투자활동현금흐름,상각후원가 측정 금융자산의 순감소(증가),당기손익-공정가치측정 금융자산 처분,당기손익-공정가치측정 금융자산 취득,기타포괄손익-공정가치측정 금융자산의 처분,기타포괄손익-공정가치측정 금융자산의 취득,사업결합으로 인한 순현금유출,단기대여금의 증가,장기대여금의 감소,유형자산의 처분,유형자산의 취득,무형자산의 처분,무형자산의 취득,보증금의 증가,관계기업투자주식의 처분,관계기업투자주식의 취득,재무활동현금흐름,리스부채의 상환,유동성장기부채및단기차입금의 차입,유동성장기부채및단기차입금의 상환,장기차입금의 차입,장기차입금의 상환,자기주식의 취득,배당금지급,사채의 발행,외화환산으로 인한 현금및현금성자산의 변동,현금및현금성자산의 증가(감소),기초의 현금및현금성자산,분기말의 현금및현금성자산
20100101,2267273000000,2556311000000,40019000000,85512000000,64759000000,308304000000,-656770000000,,,87000000.0,,,,250000000.0,87000000.0,50051000000,415394000000,3822000000.0,13723000000,25295000000,29424000000.0,54637000000.0,-252331000000,,-354713000000.0,-354713000000,218739000000,,,120275000000,,-25175000000,1332997000000,1115134000000,2448131000000
20110101,2159413000000,2585642000000,77626000000,56708000000,113862000000,561009000000,-2852127000000,,,68000000.0,,,,,,25889000000,716084000000,,30883000000,-1311000000,144075000000.0,1243724000000.0,278608000000,,327895000000.0,-327895000000,95336000000,,,144623000000,,25186000000,-388920000000,2448131000000,2059211000000
20120101,3113454000000,3424518000000,232105000000,52681000000,193209000000,683697000000,-2014313000000,,,89000000.0,,,,15000000.0,89000000.0,9572000000,858413000000,256000000.0,87605000000,-15053000000,120375000000.0,20116000000.0,-295385000000,,,703450000000,543403000000,,,170236000000,,-66738000000,737018000000,2059211000000,2796229000000
20130101,1879596000000,2424675000000,278579000000,43457000000,157965000000,938166000000,-2403014000000,,,1515000000.0,,,,-917000000.0,1515000000.0,8733000000,652102000000,2268000000.0,49480000000,1074000000,21000000000.0,6973000000.0,206210000000,,,307536000000,736271000000,,,184819000000,,-3189000000,-320397000000,2796229000000,2475832000000
20140101,846587000000,1183622000000,378887000000,38751000000,173333000000,850504000000,-186575000000,,,-1454000000.0,,,,284000000.0,1454000000.0,22688000000,1069506000000,3286000000.0,41246000000,6909000000,,3632000000.0,-222337000000,,,247535000000,179000000000,,4125000000.0,189639000000,,-2066000000,435609000000,2475832000000,2911441000000
20150101,4351865000000,4731673000000,366981000000,41878000000,276360000000,981271000000,-4948606000000,,,,,,-39331000000.0,-2253000000.0,10390000000.0,32645000000,4079827000000,1671000000.0,55597000000,15249000000,,,169827000000,,,426523000000,910434000000,,234687000000.0,292279000000,,13359000000,-413555000000,2911441000000,2497886000000
20160101,2017786000000,2648598000000,120424000000,40745000000,267602000000,978093000000,-2124488000000,,,,,,,-24820000000.0,30000000.0,15040000000,1296119000000,354000000.0,32516000000,13114000000,,6449000000.0,-336315000000,,,513863000000,509284000000,,,331736000000,,-5566000000,-448583000000,2497886000000,2049303000000
20170101,1948742000000,2492782000000,133477000000,46238000000,269270000000,900549000000,-1065543000000,,,,,,,-59374000000.0,-126000000.0,16137000000,676873000000,2388000000.0,47153000000,5180000000,,22532000000.0,-395535000000,,,372886000000,294079000000,,,332465000000,,-129077000000,358587000000,2049303000000,2407890000000
20180101,1610128000000,1805920000000,193519000000,61236000000,274596000000,602671000000,-943963000000,383024000000.0,658000000.0,1401000000.0,,,,-3559000000.0,-10279000000.0,22848000000,531432000000,173000000.0,28874000000,-2890000000,,11956000000.0,-720598000000,,3393060000000.0,4022907000000,317891000000,76177000000.0,,332465000000,,-18397000000,-72830000000,2407890000000,2335060000000
20190101,2644058000000,3016761000000,225083000000,62933000000,277494000000,812347000000,-720168000000,-139476000000.0,84000000.0,880000000.0,,-67150000000.0,,1724000000.0,-213000000.0,38083000000,789449000000,1430000000.0,38335000000,4938000000,,,-972006000000,98371000000.0,4494869000000.0,4934388000000,522168000000,163474000000.0,322534000000.0,475021000000,,55033000000,1006917000000,2335060000000,3341977000000
20200101,2476737000000,2624084000000,169918000000,49395000000,237863000000,505733000000,-1256765000000,-375406000000.0,845000000.0,,31000000.0,-29558000000.0,,6123000000.0,7000000.0,45522000000,1095909000000,,23108000000,8723000000,,527401000000.0,-231926000000,102176000000.0,3993029000000.0,3982773000000,376919000000,,234853000000.0,282072000000,,-127587000000,860459000000,3341977000000,4202436000000
20210101,2608809000000,2841971000000,128370000000,33748000000,266418000000,594202000000,-1953379000000,427791000000.0,2235000000.0,3750000000.0,3181000000.0,-8853000000.0,148808000000.0,-19000000.0,2667000000.0,58752000000,921842000000,818000000.0,32513000000,18471000000,549000000.0,459534000000.0,-962405000000,103870000000.0,4364803000000.0,5156043000000,573298000000,97256000000.0,428640000000.0,463628000000,348931000000.0,260528000000,-46447000000,4202436000000,4155989000000
20220101,2154062000000,2422765000000,224984000000,56594000000,312684000000,749777000000,-1603980000000,33769000000.0,356000000.0,2000000000.0,,-167936000000.0,,-90797000000.0,97992000000.0,78073000000,1134395000000,25000000.0,86415000000,41024000000,3250000000.0,227340000000.0,-638464000000,133148000000.0,6374489000000.0,6413413000000,237619000000,91745000000.0,244166000000.0,368100000000,,20641000000,-67741000000,4155989000000,4088248000000
