,영업활동 현금흐름,영업에서 창출된 현금흐름,당기순이익,조정,영업활동으로 인한 자산부채의 변동,이자의 수취,이자의 지급,배당금 수입,법인세 납부액,투자활동 현금흐름,단기금융상품의 순감소(증가),단기상각후원가금융자산의 순감소(증가),단기당기손익-공정가치금융자산의 순감소(증가),장기금융상품의 처분,장기금융상품의 취득,상각후원가금융자산의 처분,상각후원가금융자산의 취득,기타포괄손익-공정가치금융자산의 처분,기타포괄손익-공정가치금융자산의 취득,당기손익-공정가치금융자산의 처분,당기손익-공정가치금융자산의 취득,관계기업 및 공동기업 투자의 처분,관계기업 및 공동기업 투자의 취득,유형자산의 처분,유형자산의 취득,무형자산의 처분,무형자산의 취득,사업결합으로 인한 현금유출액,매각예정자산의 처분으로 인한 현금유입액,기타투자활동으로 인한 현금유출입액,재무활동 현금흐름,단기차입금의 순증가(감소),장기차입금의 차입,사채 및 장기차입금의 상환,배당금의 지급,비지배지분의 증감,매각예정분류,외화환산으로 인한 현금의 변동,현금및현금성자산의 순증감,기초의 현금및현금성자산,기말의 현금및현금성자산
20020101,,,7052835000000,,-4201019000000,,,,,,,,,,,,,,,,,,,,,,,,1499843000000.0,,,,1206523000000,,,,,-19823000000,,,
20030101,,,5962247000000,,-95813000000,,,,,,,,,,,,,,,,,,,259820000000.0,7700754000000.0,,180632000000.0,,1978562000000.0,,,,35774000000,,,,,50753000000,,,
20040101,,,10789535000000,,-2100407000000,,,,,,91198000000.0,,,,,,,,,,,,,574625000000.0,10497204000000.0,,142300000000.0,,3841484000000.0,,,,419434000000,,,,,125577000000,,,
20050101,,,7640092000000,,-2305765000000,,,,,,912019000000.0,,,,,,,,,,,,,244961000000.0,11540225000000.0,,188166000000.0,,2149370000000.0,,,815328000000.0,689544000000,,,,,-69574000000,,,
20060101,,,8193659000000,,-1596924000000,,,,,,564016000000.0,,,,,,,,,,,,,344797000000.0,11738291000000.0,,136148000000.0,,1812879000000.0,,,,498172000000,,,,,30125000000,,,
20070101,,,7922981000000,,-2977614000000,,,,,,,,,,,,,,,,,,,491701000000.0,12251537000000.0,,196339000000.0,,1825395000000.0,,,798134000000.0,885610000000,,,,,419005000000,,,
20080101,,,5890214000000,,-4525798000000,,,,,,1445781000000.0,,,,,,,,,,,,,295287000000.0,14088184000000.0,,214254000000.0,,,,,668383000000.0,1086479000000,,,,,813514000000,,,
20090101,18522468000000.0,20124820000000.0,9760550000000,13937675000000.0,-3573405000000,301795000000.0,546000000000.0,69392000000.0,1974573000000.0,-14177260000000.0,-5078099000000.0,,,,,,,,,,,44832000000.0,-180916000000.0,100899000000.0,8072165000000.0,56795000000.0,550053000000.0,290218000000.0,,396732000000.0,-1363639000000.0,-533298000000.0,311500000000,400562000000.0,823627000000.0,,,263995000000,3245564000000.0,6904366000000.0,10149930000000.0
20100101,23826779000000.0,24566813000000.0,16182356000000,14052492000000.0,-5668035000000,457508000000.0,582292000000.0,1520037000000.0,2135287000000.0,-23984877000000.0,-2991820000000.0,,,,,,,,,,,277907000000.0,-243000000.0,1228007000000.0,21619244000000.0,16620000000.0,1259895000000.0,47549000000.0,,-384341000000.0,-152295000000.0,868156000000.0,1137646000000,304074000000.0,1917637000000.0,0.0,,-48118000000,-358511000000.0,10149930000000.0,9791419000000.0
20110101,22917901000000.0,26152327000000.0,13759043000000,16450629000000.0,-4057345000000,755859000000.0,641462000000.0,628585000000.0,3977408000000.0,-21112564000000.0,75666000000.0,,,,,,,,,,,306804000000.0,-403538000000.0,379878000000.0,21965678000000.0,9703000000.0,663678000000.0,-522740000000.0,,231668000000.0,3109729000000.0,977315000000.0,3925406000000,1145167000000.0,874608000000.0,363417000000.0,,-14724000000,4900342000000.0,9791419000000.0,14691761000000.0
20120101,37972809000000.0,40826895000000.0,23845285000000,22759559000000.0,-5777949000000,789397000000.0,576379000000.0,1112940000000.0,4180044000000.0,-31321554000000.0,-5965611000000.0,,,,,,,,,,,41091000000.0,-279022000000.0,644062000000.0,22965271000000.0,61497000000.0,650884000000.0,-464279000000.0,,-390024000000.0,-1864508000000.0,-800579000000.0,1862256000000,522899000000.0,1265137000000.0,-1200134000000.0,,-687048000000,4099699000000.0,14691761000000.0,18791460000000.0
20130101,46707440000000.0,52966351000000.0,30474764000000,23804832000000.0,-1313245000000,1034074000000.0,434857000000.0,592217000000.0,7450345000000.0,-44747019000000.0,-19391643000000.0,,,96301000000.0,1616617000000.0,,,,,,,240000000.0,-181307000000.0,377445000000.0,23157587000000.0,4562000000.0,934743000000.0,-167155000000.0,,29715000000.0,-4137031000000.0,-1861536000000.0,26672000000,1368436000000.0,1249672000000.0,281551000000.0,,-330070000000,-2506680000000.0,18791460000000.0,16284780000000.0
